time,Salinity,Temperature,Chlorophyll_a,Nitrate,Longwave Irradiance,Shortwave Irradiance
2019-03-07,,,,7.25,253.76,299.12
2019-03-08,,,,7.19,236.92,287.76
2019-03-09,,,,7.17,271.91,241.54
2019-03-10,,,,7.08,309.99,31.33
2019-03-11,,,,7.13,290.16,242.75
2019-03-12,,,,7.14,245.49,4.39
2019-03-13,,,,7.01,237.38,367.51
2019-03-14,,,,6.80,317.02,
2019-03-15,,,,6.68,329.74,
2019-03-16,,,,7.08,292.53,
2019-03-17,,,,6.64,243.87,
2019-03-18,,,,6.40,223.86,
2019-03-19,,,,6.49,230.82,
2019-03-20,,,,6.38,242.31,
2019-03-21,,,,6.41,285.23,102.80
2019-03-22,,,,5.93,333.73,
2019-03-23,,,,6.45,274.17,320.82
2019-03-24,,,,7.06,248.42,380.77
2019-03-25,,,,6.97,315.66,
2019-03-26,,,,6.45,271.81,1.10
2019-03-27,,,,6.62,224.61,
2019-03-28,,,,6.50,244.80,
2019-03-29,,,,6.49,303.39,227.08
2019-03-30,,,,6.41,324.21,172.10
2019-03-31,,,,6.41,332.58,125.04
2019-04-01,,,,6.36,254.64,319.04
2019-04-02,,,,6.44,251.69,407.37
2019-04-03,,,,6.52,306.43,276.74
2019-04-04,,,,6.43,253.92,179.08
2019-04-05,33.31,7.35,1.28,6.44,268.49,245.48
2019-04-06,33.08,6.55,1.10,4.78,329.92,224.33
2019-04-07,33.00,6.44,1.39,3.01,282.32,
2019-04-08,33.04,6.90,2.48,0.84,342.69,116.05
2019-04-09,33.04,6.96,3.38,0.73,346.88,104.32
2019-04-10,32.98,6.74,1.88,0.92,298.56,275.33
2019-04-11,32.97,6.92,2.23,0.98,274.18,262.49
2019-04-12,33.01,7.01,2.88,0.98,339.89,4.06
2019-04-13,33.20,7.05,1.50,1.41,,
2019-04-14,33.29,7.96,2.24,3.26,,
2019-04-15,33.49,9.36,2.16,2.51,,
2019-04-16,32.96,7.32,0.79,2.63,259.83,
2019-04-17,33.03,7.65,0.53,2.80,293.46,286.26
2019-04-18,33.28,8.50,0.96,2.22,321.58,114.68
2019-04-19,33.75,10.08,1.46,2.22,341.86,251.87
2019-04-20,32.61,7.10,0.93,2.08,367.42,167.21
2019-04-21,32.52,7.24,1.58,1.68,368.05,89.49
2019-04-22,32.68,7.73,2.04,0.83,351.29,175.55
2019-04-23,33.26,9.91,2.96,0.32,351.35,182.48
2019-04-24,33.40,10.63,2.19,0.40,317.77,285.03
2019-04-25,33.53,11.11,1.12,,286.33,292.02
2019-04-26,33.34,10.86,1.07,0.08,363.99,94.14
2019-04-27,33.57,11.34,1.09,0.16,326.78,283.86
2019-04-28,33.86,11.73,1.34,,318.13,101.60
2019-04-29,33.66,11.26,1.35,,265.76,309.46
2019-04-30,33.74,11.75,1.35,,342.00,175.88
2019-05-01,33.75,11.81,1.42,,338.55,113.55
2019-05-02,33.63,11.42,1.45,,363.74,187.18
2019-05-03,33.14,9.70,2.36,,359.92,164.10
2019-05-04,33.26,10.24,1.73,0.05,374.50,100.72
2019-05-05,33.56,11.10,1.69,,362.11,35.26
2019-05-06,33.81,11.61,1.12,0.11,336.04,264.02
2019-05-07,34.01,12.32,0.97,,286.92,321.99
2019-05-08,33.25,9.72,1.14,,333.78,267.40
2019-05-09,33.48,10.94,1.14,0.16,303.87,298.85
2019-05-10,33.23,10.12,1.69,,356.94,156.34
2019-05-11,33.39,11.33,1.70,0.56,339.79,256.52
2019-05-12,33.51,11.68,1.28,0.15,349.49,53.41
2019-05-13,33.97,11.11,1.36,0.48,345.74,107.72
2019-05-14,33.78,10.54,1.23,1.23,343.38,161.40
2019-05-15,33.91,11.76,1.64,,308.94,274.83
2019-05-16,34.16,12.61,1.82,3.11,307.57,299.59
2019-05-17,34.12,12.83,1.53,2.08,319.69,261.40
2019-05-18,34.11,13.00,1.27,0.67,305.10,295.37
2019-05-19,34.16,13.13,1.17,0.12,312.86,290.17
2019-05-20,34.14,13.69,0.91,0.10,356.03,300.65
2019-05-21,33.59,12.58,1.14,0.09,321.89,320.47
2019-05-22,32.69,10.87,0.91,0.04,280.23,323.43
2019-05-23,33.06,11.19,1.34,0.04,336.43,109.72
2019-05-24,32.97,10.63,1.46,0.10,341.60,306.78
2019-05-25,33.16,11.66,1.38,0.05,294.43,314.56
2019-05-26,33.13,11.59,1.68,0.06,361.41,208.05
2019-05-27,32.81,11.43,1.36,0.06,334.90,327.68
2019-05-28,33.24,13.73,0.91,0.06,344.30,182.71
2019-05-29,34.68,18.87,0.40,0.04,372.49,239.28
2019-05-30,34.81,19.69,0.19,0.07,368.28,226.68
2019-05-31,34.98,20.26,0.15,0.06,359.14,324.62
2019-06-01,35.34,21.03,0.28,0.05,356.33,167.16
2019-06-02,35.37,19.85,0.41,0.06,357.77,196.90
2019-06-03,35.10,20.00,0.29,0.07,339.62,268.95
2019-06-04,35.11,20.16,0.31,0.07,285.33,325.88
2019-06-05,35.12,20.16,0.37,0.09,339.12,282.32
2019-06-06,34.93,20.17,0.41,0.08,390.30,241.08
2019-06-07,34.91,20.47,0.31,0.11,363.10,246.78
2019-06-08,35.03,20.70,0.26,0.14,330.25,319.27
2019-06-09,35.14,20.61,0.27,0.14,292.76,312.22
2019-06-10,35.09,20.69,0.30,0.13,342.14,200.65
2019-06-11,35.15,21.13,0.26,0.17,390.55,176.18
2019-06-12,35.21,21.21,0.25,0.13,310.15,279.56
2019-06-13,35.27,21.06,0.23,0.12,371.91,160.18
2019-06-14,35.23,21.24,0.16,0.10,342.33,287.14
2019-06-15,35.12,20.87,0.16,0.11,313.28,324.31
2019-06-16,35.19,21.22,0.15,0.09,366.16,228.17
2019-06-17,34.82,20.64,0.23,0.12,380.45,199.74
2019-06-18,34.11,19.60,0.26,0.15,397.48,120.83
2019-06-19,34.60,20.72,0.26,0.19,397.28,140.63
2019-06-20,33.62,18.67,0.29,0.27,401.89,221.83
2019-06-21,32.66,16.67,0.48,0.38,395.35,133.78
2019-06-22,32.70,16.79,0.44,0.37,331.32,354.12
2019-06-23,32.81,16.72,0.48,0.51,318.31,348.47
2019-06-24,33.02,17.39,0.43,0.52,329.22,333.86
2019-06-25,32.88,17.30,0.49,0.52,385.86,136.37
2019-06-26,32.46,16.29,0.63,0.57,391.55,290.01
2019-06-27,32.95,17.92,0.49,0.51,377.97,291.42
2019-06-28,33.86,21.02,0.18,0.58,357.07,345.19
2019-06-29,34.05,21.41,0.18,0.60,378.03,248.15
2019-06-30,34.72,22.35,0.17,0.58,368.42,321.94
2019-07-01,33.72,20.55,0.28,0.72,335.00,350.79
2019-07-02,33.12,20.11,0.31,0.76,363.22,227.05
2019-07-03,32.60,18.85,0.62,0.69,381.52,339.28
2019-07-04,32.11,18.13,0.61,0.74,370.08,338.22
2019-07-05,32.74,18.48,0.35,0.75,379.80,340.75
2019-07-06,33.06,19.16,0.39,0.59,410.59,285.32
2019-07-07,33.14,21.01,0.38,0.85,398.03,257.05
2019-07-08,33.66,22.36,0.28,0.82,346.98,174.94
2019-07-09,34.47,23.30,0.15,0.87,328.94,351.71
2019-07-10,34.58,23.58,0.16,0.85,374.49,320.46
2019-07-11,35.01,24.40,0.11,0.91,384.84,317.86
2019-07-12,35.05,24.87,0.11,1.07,403.42,254.92
2019-07-13,34.76,24.39,0.13,1.11,362.93,350.69
2019-07-14,34.39,23.90,0.15,1.12,369.36,339.38
2019-07-15,33.01,22.35,0.24,1.27,351.88,311.90
2019-07-16,32.54,21.96,0.29,1.24,361.88,320.31
2019-07-17,32.52,22.25,0.33,1.38,396.92,252.34
2019-07-18,32.33,22.50,0.36,1.45,428.44,142.27
2019-07-19,32.21,22.66,0.36,1.55,427.84,202.56
2019-07-20,32.30,22.84,0.25,1.47,406.39,329.37
2019-07-21,32.58,23.40,0.16,1.56,408.56,327.41
2019-07-22,32.85,24.69,0.13,1.44,406.60,321.39
2019-07-23,33.51,25.04,0.14,1.85,414.41,154.54
2019-07-24,34.28,25.34,0.18,1.57,397.25,179.45
2019-07-25,34.58,25.09,0.15,1.35,359.75,301.63
2019-07-26,34.22,24.55,0.16,1.26,345.43,328.63
2019-07-27,33.29,22.82,0.24,1.15,340.20,331.48
2019-07-28,32.92,22.01,0.26,1.05,357.90,323.92
2019-07-29,32.99,22.61,0.24,1.21,383.76,317.01
2019-07-30,33.14,22.98,0.18,1.40,389.89,313.55
2019-07-31,33.29,23.38,0.16,1.50,387.93,322.31
2019-08-01,33.23,22.62,0.24,1.56,398.36,232.13
2019-08-02,33.26,21.93,0.26,1.37,364.30,256.52
2019-08-03,33.12,21.24,0.30,1.32,373.75,299.82
2019-08-04,33.13,21.75,0.23,1.23,380.03,291.29
2019-08-05,33.53,22.08,0.20,1.20,375.98,285.78
2019-08-06,34.04,23.41,0.19,1.10,398.57,102.85
2019-08-07,33.67,23.44,0.18,1.76,377.19,277.86
2019-08-08,34.20,24.83,0.14,,388.83,302.65
2019-08-09,34.35,25.19,0.15,,370.16,316.65
2019-08-10,34.12,25.00,0.16,,358.88,317.59
2019-08-11,34.12,24.33,0.14,,338.49,322.02
2019-08-12,34.17,24.48,0.14,,353.83,312.35
2019-08-13,34.36,25.22,0.15,,403.70,104.73
2019-08-14,34.38,25.52,0.14,1.23,414.34,188.40
2019-08-15,,,0.15,,400.17,224.39
2019-08-16,,,0.14,,385.92,173.71
2019-08-17,,,0.13,,399.87,196.46
2019-08-18,,,0.12,,414.74,242.18
2019-08-19,,,0.13,,409.59,283.73
2019-08-20,,,0.12,,392.37,285.62
2019-08-21,,,0.13,,404.52,177.14
2019-08-22,,,0.12,,402.72,260.20
2019-08-23,,,0.12,,404.21,162.43
2019-08-24,,,0.12,,351.83,305.87
2019-08-25,,,0.13,,370.06,186.26
2019-08-26,,,0.12,,348.05,293.64
2019-08-27,,,0.12,,335.99,196.36
2019-08-28,,,0.13,,413.95,87.31
2019-08-29,,,0.16,,405.65,183.29
2019-08-30,,,0.16,,345.93,289.08
2019-08-31,,,0.13,,360.66,283.93
2019-09-01,,,0.11,,332.97,272.67
2019-09-02,,,0.11,,355.85,255.96
2019-09-03,,,0.12,,380.87,279.57
2019-09-04,,,0.13,,374.20,257.30
2019-09-05,,,0.16,,392.91,159.24
2019-09-06,,,0.25,,400.71,29.63
2019-09-07,,,0.41,,386.79,148.50
2019-09-08,,,0.44,,344.99,258.59
2019-09-09,,,0.26,,365.55,217.61
2019-09-10,,,0.18,,349.16,258.04
2019-09-11,,,0.15,,366.54,237.59
2019-09-12,,,0.17,,393.68,91.54
2019-09-13,35.20,22.81,0.29,1.40,322.75,270.39
2019-09-14,35.29,22.84,0.30,1.38,344.11,238.30
2019-09-15,35.46,23.23,0.29,1.39,405.09,87.67
2019-09-16,35.54,23.50,0.28,1.38,379.91,168.62
2019-09-17,35.70,23.81,0.24,1.41,321.09,269.28
2019-09-18,35.67,23.04,0.48,1.43,347.55,137.02
2019-09-19,35.63,22.89,0.51,1.36,321.63,258.81
2019-09-20,35.89,23.47,0.40,1.31,310.91,242.33
2019-09-21,35.86,23.06,0.47,1.32,339.24,239.12
2019-09-22,35.85,23.05,0.34,1.38,343.03,230.51
2019-09-23,35.80,23.04,0.34,1.40,365.38,209.54
2019-09-24,35.46,22.62,0.33,1.46,373.45,213.05
2019-09-25,35.47,23.72,0.19,1.45,317.54,243.94
2019-09-26,35.52,23.76,0.16,1.43,337.09,282.01
2019-09-27,35.73,24.01,0.19,0.45,321.72,251.95
2019-09-28,35.81,24.02,0.17,,316.70,229.20
2019-09-29,35.87,24.17,0.11,,371.76,216.44
2019-09-30,36.03,24.45,0.18,0.01,318.63,209.51
2019-10-01,35.99,24.16,0.11,0.07,344.67,104.37
2019-10-02,36.03,23.83,0.26,0.05,376.96,146.28
2019-10-03,35.99,23.71,0.26,0.05,374.35,61.92
2019-10-04,35.98,23.55,0.28,0.05,364.57,158.98
2019-10-05,36.03,23.45,0.34,0.04,309.02,188.95
2019-10-06,35.99,23.17,0.40,0.09,330.48,161.83
2019-10-07,35.73,22.62,0.34,0.10,360.92,146.04
2019-10-08,35.66,22.39,0.43,0.08,386.59,29.63
2019-10-09,35.50,21.96,0.42,0.09,380.21,45.73
2019-10-10,35.50,21.71,0.35,0.25,376.01,23.24
2019-10-11,35.13,20.42,0.26,1.08,377.19,40.23
2019-10-12,35.91,22.88,0.27,0.86,379.56,53.07
2019-10-13,36.07,23.30,0.33,1.10,346.52,154.97
2019-10-14,36.08,23.48,0.52,0.87,372.62,106.84
2019-10-15,36.03,23.38,0.55,0.70,297.24,207.85
2019-10-16,36.00,23.17,0.73,0.84,313.97,125.46
2019-10-17,35.85,22.14,0.65,0.78,362.86,83.30
2019-10-18,35.73,20.44,0.71,1.15,344.91,117.63
2019-10-19,35.75,20.25,0.68,1.66,311.97,160.51
2019-10-20,35.61,19.80,0.77,1.78,318.17,89.07
2019-10-21,35.47,19.49,0.81,1.70,372.82,78.23
2019-10-22,35.50,19.67,0.78,1.44,361.85,84.71
2019-10-23,34.44,17.16,0.71,1.11,356.58,148.58
2019-10-24,34.50,17.20,0.78,0.98,283.66,170.65
2019-10-25,34.53,17.21,1.11,1.24,303.57,120.25
2019-10-26,34.74,17.83,1.01,1.30,321.85,172.30
2019-10-27,34.78,17.88,0.88,1.27,370.00,17.90
2019-10-28,35.20,18.93,0.88,1.42,352.52,77.43
2019-10-29,35.61,20.29,0.97,1.80,365.37,105.75
2019-10-30,35.56,20.27,0.98,1.62,389.37,70.84
2019-10-31,35.57,20.40,1.13,1.25,391.01,75.66
2019-11-01,35.59,20.54,0.91,1.17,332.50,155.67
2019-11-02,,,,1.22,302.25,104.27
2019-11-03,,,,1.02,301.71,155.20
2019-11-04,,,,0.75,279.63,152.78
2019-11-05,,,,0.94,338.54,72.13
2019-11-06,,,,0.75,280.56,161.40
2019-11-07,,,,0.85,307.87,90.54
2019-11-08,,,,0.90,316.55,93.86
2019-11-09,,,,0.97,275.77,126.12
2019-11-10,,,,1.01,305.07,85.20
2019-11-11,,,,0.98,303.69,104.41
2019-11-12,34.98,17.76,0.74,0.89,337.76,33.32
2019-11-13,35.12,17.82,0.53,1.11,270.26,111.46
2019-11-14,35.10,17.66,0.52,1.16,286.17,76.17
2019-11-15,35.24,17.90,0.50,1.12,342.03,40.41
2019-11-16,35.33,17.93,0.44,1.28,273.54,112.89
2019-11-17,35.36,17.69,0.47,1.91,329.01,41.22
2019-11-18,35.20,17.25,0.57,1.47,357.23,37.71
2019-11-19,34.31,15.45,1.18,1.57,336.73,77.68
2019-11-20,34.31,15.52,1.22,1.48,334.49,28.73
2019-11-21,34.29,15.03,1.26,2.07,292.81,144.62
2019-11-22,34.56,15.64,0.98,2.39,329.74,62.00
2019-11-23,34.66,15.73,0.89,2.68,263.25,132.26
2019-11-24,34.77,15.91,0.99,3.05,355.01,34.97
2019-11-25,34.53,15.23,1.07,2.92,290.60,115.39
2019-11-26,34.33,14.58,1.54,2.45,294.22,110.55
2019-11-27,34.12,14.28,1.63,2.31,340.06,30.94
2019-11-28,34.22,14.57,1.36,2.44,337.62,41.83
2019-11-29,34.73,15.50,0.95,3.04,299.67,80.61
2019-11-30,34.72,15.32,1.02,3.21,244.47,140.55
2019-12-01,34.46,14.40,1.27,3.16,276.96,50.52
2019-12-02,34.39,14.40,1.23,2.83,357.20,24.19
2019-12-03,34.35,14.33,0.90,3.34,330.06,31.63
2019-12-04,34.73,14.78,0.62,4.16,292.30,43.30
2019-12-05,34.58,14.30,0.65,4.29,313.41,45.22
2019-12-06,34.26,13.45,0.76,4.26,296.29,83.44
2019-12-07,34.74,14.46,0.59,4.30,282.05,99.90
2019-12-08,35.05,15.05,0.51,4.39,246.81,102.85
2019-12-09,35.14,15.16,0.52,4.51,338.22,26.25
2019-12-10,35.16,15.36,0.50,4.79,367.44,42.17
2019-12-11,34.43,13.80,0.93,4.47,333.59,29.82
2019-12-12,33.94,12.67,0.96,4.33,248.09,133.34
2019-12-13,33.93,12.54,0.86,4.25,285.85,67.09
2019-12-14,34.31,13.49,0.69,4.10,370.62,18.87
2019-12-15,34.11,13.14,0.62,4.20,318.87,37.43
2019-12-16,34.87,14.45,0.34,4.74,299.49,28.31
2019-12-17,34.56,13.64,0.48,4.71,346.88,20.02
2019-12-18,33.97,12.52,0.57,4.71,317.35,70.02
2019-12-19,34.41,13.11,0.47,4.88,268.75,74.95
2019-12-20,34.06,11.96,0.65,4.91,253.84,90.63
2019-12-21,33.91,11.51,0.75,5.05,272.81,64.22
2019-12-22,33.65,11.03,0.84,5.27,283.04,104.87
2019-12-23,33.44,10.69,0.99,5.59,277.11,102.75
2019-12-24,33.37,10.65,0.99,5.55,266.76,134.17
2019-12-25,33.38,10.62,1.13,5.99,257.80,96.69
2019-12-26,33.29,10.62,1.17,5.71,309.22,41.67
2019-12-27,33.39,10.73,1.09,5.45,308.39,71.91
2019-12-28,33.06,10.17,0.98,4.61,292.71,114.23
2019-12-29,33.47,10.78,1.37,5.41,277.08,91.62
2019-12-30,33.67,11.18,1.13,4.73,343.46,16.76
2019-12-31,33.89,11.71,1.06,4.78,348.46,47.81
