pressure_bin,time,seawater_temperature,practical_salinity,dissolved_oxygen,chlorophyll_a,pco2_seawater,month,day
87,2018-01-15,8.215,33.000,258.267,0.093,555.616,1,15
89,2018-01-15,8.081,33.068,251.861,0.083,,1,15
91,2018-01-15,8.044,33.097,249.439,0.078,,1,15
93,2018-01-15,8.008,33.115,248.346,0.079,,1,15
95,2018-01-15,7.981,33.134,247.012,0.075,591.076,1,15
97,2018-01-15,7.972,33.154,245.102,0.074,595.310,1,15
99,2018-01-15,7.951,33.197,241.756,0.069,,1,15
101,2018-01-15,7.938,33.221,240.331,0.067,,1,15
103,2018-01-15,7.926,33.253,237.983,0.064,,1,15
105,2018-01-15,7.939,33.251,236.293,0.067,626.498,1,15
107,2018-01-15,7.912,33.320,231.259,0.061,,1,15
109,2018-01-15,7.897,33.350,228.898,0.060,634.247,1,15
111,2018-01-15,7.912,33.390,223.184,0.058,,1,15
113,2018-01-15,7.914,33.421,218.999,0.057,,1,15
115,2018-01-15,7.926,33.470,212.885,0.057,,1,15
117,2018-01-15,7.929,33.496,210.121,0.056,,1,15
119,2018-01-15,7.931,33.531,205.577,0.056,,1,15
121,2018-01-15,7.931,33.563,201.761,0.053,,1,15
123,2018-01-15,7.933,33.593,198.224,0.054,,1,15
125,2018-01-15,7.935,33.612,195.182,0.053,,1,15
127,2018-01-15,7.944,33.628,192.438,0.051,695.821,1,15
129,2018-01-15,7.941,33.662,188.757,0.051,,1,15
131,2018-01-15,7.939,33.677,187.070,0.049,721.980,1,15
133,2018-01-15,7.925,33.700,185.013,0.047,,1,15
135,2018-01-15,7.908,33.720,183.411,0.047,,1,15
137,2018-01-15,7.894,33.737,181.882,0.046,,1,15
139,2018-01-15,7.875,33.753,180.718,0.045,,1,15
141,2018-01-15,7.853,33.768,179.490,0.046,,1,15
143,2018-01-15,7.832,33.780,178.958,0.045,,1,15
145,2018-01-15,7.805,33.794,178.054,0.043,,1,15
147,2018-01-15,7.780,33.809,176.793,0.043,,1,15
149,2018-01-15,7.741,33.827,171.983,0.043,788.735,1,15
151,2018-01-15,7.736,33.827,173.699,0.043,,1,15
153,2018-01-15,7.719,33.835,169.926,0.043,820.388,1,15
155,2018-01-15,7.679,33.843,172.400,0.042,,1,15
157,2018-01-15,7.654,33.849,173.111,0.042,,1,15
159,2018-01-15,7.631,33.853,173.302,0.042,,1,15
161,2018-01-15,7.603,33.857,172.801,0.041,,1,15
163,2018-01-15,7.583,33.858,172.140,0.042,,1,15
165,2018-01-15,7.564,33.862,171.230,0.042,,1,15
167,2018-01-15,7.534,33.865,169.417,0.043,,1,15
169,2018-01-15,7.505,33.868,167.294,0.042,,1,15
171,2018-01-15,7.472,33.870,165.354,0.043,,1,15
173,2018-01-15,7.438,33.874,163.849,0.043,,1,15
175,2018-01-15,7.415,33.876,163.124,0.044,,1,15
177,2018-01-15,7.390,33.877,162.796,0.043,,1,15
179,2018-01-15,7.357,33.880,161.661,0.044,,1,15
181,2018-01-15,7.330,33.882,160.279,0.044,,1,15
183,2018-01-15,7.303,33.885,158.914,0.046,,1,15
185,2018-01-15,7.256,33.889,157.509,0.044,,1,15
187,2018-01-15,7.200,33.891,155.943,0.046,848.897,1,15
189,2018-01-15,7.212,33.889,158.637,0.045,816.853,1,15
11,2018-02-15,9.422,32.537,318.006,0.582,,2,15
13,2018-02-15,9.413,32.537,317.100,0.587,,2,15
15,2018-02-15,9.412,32.537,316.994,0.578,,2,15
17,2018-02-15,9.413,32.538,316.917,0.573,,2,15
19,2018-02-15,9.413,32.538,316.952,0.558,,2,15
21,2018-02-15,9.413,32.538,316.818,0.563,,2,15
23,2018-02-15,9.416,32.539,316.899,0.675,515.504,2,15
25,2018-02-15,9.416,32.538,316.849,0.556,457.902,2,15
27,2018-02-15,9.415,32.538,316.807,0.556,,2,15
29,2018-02-15,9.416,32.538,316.774,0.554,,2,15
31,2018-02-15,9.416,32.538,316.674,0.559,,2,15
33,2018-02-15,9.420,32.539,316.811,0.693,487.454,2,15
35,2018-02-15,9.416,32.538,316.625,0.574,,2,15
37,2018-02-15,9.415,32.538,316.573,0.567,,2,15
39,2018-02-15,9.416,32.538,316.544,0.560,,2,15
41,2018-02-15,9.416,32.538,316.491,0.572,,2,15
43,2018-02-15,9.420,32.539,316.392,0.564,475.201,2,15
45,2018-02-15,9.416,32.538,316.341,0.592,,2,15
47,2018-02-15,9.415,32.539,316.271,0.583,,2,15
49,2018-02-15,9.415,32.539,316.178,0.543,,2,15
51,2018-02-15,9.414,32.539,316.094,0.542,,2,15
53,2018-02-15,9.420,32.540,316.039,0.566,480.762,2,15
55,2018-02-15,9.412,32.541,315.795,0.532,,2,15
57,2018-02-15,9.409,32.542,315.526,0.530,,2,15
59,2018-02-15,9.407,32.544,315.199,0.526,,2,15
61,2018-02-15,9.398,32.552,314.305,0.522,,2,15
63,2018-02-15,9.411,32.549,314.652,0.555,489.133,2,15
65,2018-02-15,9.376,32.567,311.980,0.449,,2,15
67,2018-02-15,9.341,32.586,309.704,0.412,,2,15
69,2018-02-15,9.312,32.599,307.678,0.377,,2,15
71,2018-02-15,9.263,32.620,304.745,0.346,,2,15
73,2018-02-15,9.306,32.595,307.944,0.429,489.704,2,15
75,2018-02-15,9.217,32.637,302.005,0.364,,2,15
77,2018-02-15,9.112,32.678,296.733,0.271,,2,15
79,2018-02-15,9.066,32.697,293.542,0.239,,2,15
81,2018-02-15,8.997,32.727,289.427,0.236,,2,15
83,2018-02-15,9.025,32.712,291.329,0.228,540.538,2,15
85,2018-02-15,9.002,32.727,288.348,0.260,447.101,2,15
87,2018-02-15,8.739,32.836,273.375,0.234,,2,15
89,2018-02-15,8.621,32.897,265.984,0.177,,2,15
91,2018-02-15,8.509,32.957,258.838,0.161,,2,15
93,2018-02-15,8.421,33.006,253.378,0.146,,2,15
95,2018-02-15,8.366,33.019,251.391,0.140,563.436,2,15
97,2018-02-15,8.237,33.116,239.369,0.125,,2,15
99,2018-02-15,8.170,33.172,233.509,0.120,,2,15
101,2018-02-15,8.097,33.228,227.652,0.113,,2,15
103,2018-02-15,8.041,33.269,223.676,0.104,,2,15
105,2018-02-15,7.997,33.277,222.682,0.099,663.831,2,15
107,2018-02-15,7.968,33.342,216.243,0.091,,2,15
109,2018-02-15,7.939,33.375,212.717,0.088,,2,15
111,2018-02-15,7.904,33.418,208.679,0.080,,2,15
113,2018-02-15,7.875,33.452,205.880,0.078,,2,15
115,2018-02-15,7.854,33.478,203.866,0.073,,2,15
117,2018-02-15,7.824,33.509,201.389,0.071,,2,15
119,2018-02-15,7.803,33.533,199.227,0.069,,2,15
121,2018-02-15,7.781,33.557,197.232,0.065,,2,15
123,2018-02-15,7.766,33.574,195.720,0.065,,2,15
125,2018-02-15,7.755,33.590,194.017,0.061,,2,15
127,2018-02-15,7.757,33.606,191.724,0.058,761.461,2,15
129,2018-02-15,7.739,33.628,188.748,0.058,,2,15
131,2018-02-15,7.732,33.640,187.428,0.056,,2,15
133,2018-02-15,7.723,33.658,184.659,0.054,,2,15
135,2018-02-15,7.719,33.684,180.598,0.053,,2,15
137,2018-02-15,7.720,33.701,177.560,0.060,,2,15
139,2018-02-15,7.712,33.722,174.683,0.056,,2,15
141,2018-02-15,7.703,33.738,172.783,0.054,,2,15
143,2018-02-15,7.696,33.750,171.119,0.048,,2,15
145,2018-02-15,7.687,33.757,170.017,0.049,,2,15
147,2018-02-15,7.673,33.774,167.724,0.048,,2,15
149,2018-02-15,7.633,33.789,167.946,0.051,833.859,2,15
151,2018-02-15,7.629,33.797,164.633,0.048,,2,15
153,2018-02-15,7.607,33.807,163.313,0.047,,2,15
155,2018-02-15,7.585,33.816,161.707,0.061,,2,15
157,2018-02-15,7.569,33.825,160.001,0.099,,2,15
159,2018-02-15,7.544,33.833,158.943,0.101,,2,15
161,2018-02-15,7.523,33.839,157.794,0.074,,2,15
163,2018-02-15,7.503,33.845,156.571,0.070,,2,15
165,2018-02-15,7.478,33.852,155.538,0.092,,2,15
167,2018-02-15,7.455,33.857,154.654,0.075,,2,15
169,2018-02-15,7.438,33.860,153.857,0.079,,2,15
171,2018-02-15,7.417,33.867,152.952,0.098,,2,15
173,2018-02-15,7.389,33.870,151.995,0.083,,2,15
175,2018-02-15,7.369,33.872,150.808,0.078,,2,15
177,2018-02-15,7.354,33.874,149.739,0.093,,2,15
179,2018-02-15,7.333,33.879,148.505,0.090,,2,15
181,2018-02-15,7.311,33.881,146.693,0.073,,2,15
183,2018-02-15,7.293,33.884,145.406,0.080,,2,15
185,2018-02-15,7.276,33.888,144.645,0.087,,2,15
187,2018-02-15,7.223,33.888,145.735,0.064,909.376,2,15
189,2018-02-15,7.194,33.895,141.797,0.054,940.067,2,15
11,2018-03-15,8.967,32.606,320.336,1.111,,3,15
13,2018-03-15,8.953,32.605,319.956,0.996,,3,15
15,2018-03-15,8.950,32.605,319.926,0.953,,3,15
17,2018-03-15,8.950,32.605,319.897,0.987,,3,15
19,2018-03-15,8.951,32.605,319.873,0.991,,3,15
21,2018-03-15,8.951,32.604,319.848,0.985,,3,15
23,2018-03-15,8.951,32.603,319.853,0.935,533.566,3,15
25,2018-03-15,8.951,32.605,319.754,1.016,,3,15
27,2018-03-15,8.949,32.605,319.739,1.039,,3,15
29,2018-03-15,8.949,32.605,319.699,1.074,,3,15
31,2018-03-15,8.946,32.605,319.657,1.068,,3,15
33,2018-03-15,8.947,32.603,319.688,1.043,534.460,3,15
35,2018-03-15,8.944,32.605,319.543,1.080,,3,15
37,2018-03-15,8.943,32.605,319.479,1.096,,3,15
39,2018-03-15,8.942,32.605,319.414,1.109,,3,15
41,2018-03-15,8.941,32.604,319.383,1.099,498.520,3,15
43,2018-03-15,8.943,32.604,319.418,1.096,561.438,3,15
45,2018-03-15,8.940,32.605,319.257,1.104,,3,15
47,2018-03-15,8.940,32.605,319.196,1.105,,3,15
49,2018-03-15,8.939,32.605,319.098,1.115,,3,15
51,2018-03-15,8.939,32.605,319.129,1.102,485.057,3,15
53,2018-03-15,8.940,32.604,319.122,1.085,570.622,3,15
55,2018-03-15,8.939,32.605,318.980,1.092,,3,15
57,2018-03-15,8.939,32.605,318.944,1.091,,3,15
59,2018-03-15,8.939,32.606,318.875,1.093,,3,15
61,2018-03-15,8.938,32.606,318.774,1.093,,3,15
63,2018-03-15,8.940,32.604,318.816,1.062,527.989,3,15
65,2018-03-15,8.937,32.606,318.605,1.087,,3,15
67,2018-03-15,8.934,32.608,318.278,1.071,,3,15
69,2018-03-15,8.932,32.609,318.031,1.061,,3,15
71,2018-03-15,8.929,32.611,317.797,1.059,,3,15
73,2018-03-15,8.936,32.608,317.880,1.008,533.771,3,15
75,2018-03-15,8.925,32.615,317.012,0.999,,3,15
77,2018-03-15,8.918,32.619,316.254,0.975,,3,15
79,2018-03-15,8.910,32.624,315.493,0.924,,3,15
81,2018-03-15,8.895,32.633,313.906,0.879,,3,15
83,2018-03-15,8.885,32.640,312.718,0.796,542.002,3,15
85,2018-03-15,8.826,32.674,307.901,0.741,,3,15
87,2018-03-15,8.790,32.696,305.240,0.695,,3,15
89,2018-03-15,8.759,32.715,300.965,0.595,,3,15
91,2018-03-15,8.667,32.773,292.928,0.517,,3,15
93,2018-03-15,8.483,32.894,277.449,0.373,549.364,3,15
95,2018-03-15,8.538,32.860,282.443,0.361,582.640,3,15
97,2018-03-15,8.371,32.986,263.388,0.260,,3,15
99,2018-03-15,8.254,33.088,252.252,0.210,,3,15
101,2018-03-15,8.203,33.142,246.352,0.181,,3,15
103,2018-03-15,8.170,33.183,241.569,0.144,,3,15
105,2018-03-15,8.136,33.207,238.244,0.124,634.192,3,15
107,2018-03-15,8.094,33.274,228.821,0.117,,3,15
109,2018-03-15,8.068,33.325,223.367,0.107,,3,15
111,2018-03-15,8.036,33.374,217.353,0.092,,3,15
113,2018-03-15,8.018,33.407,213.593,0.086,,3,15
115,2018-03-15,8.004,33.437,209.827,0.085,,3,15
117,2018-03-15,7.988,33.482,204.301,0.082,,3,15
119,2018-03-15,7.965,33.521,199.979,0.072,,3,15
121,2018-03-15,7.931,33.562,196.595,0.067,,3,15
123,2018-03-15,7.913,33.584,194.235,0.064,,3,15
125,2018-03-15,7.883,33.612,191.787,0.061,,3,15
127,2018-03-15,7.851,33.653,187.906,0.057,794.061,3,15
129,2018-03-15,7.841,33.645,188.766,0.058,,3,15
131,2018-03-15,7.823,33.663,187.319,0.056,,3,15
133,2018-03-15,7.806,33.674,185.985,0.055,,3,15
135,2018-03-15,7.784,33.694,184.757,0.055,,3,15
137,2018-03-15,7.757,33.709,183.779,0.052,,3,15
139,2018-03-15,7.731,33.724,182.186,0.052,,3,15
141,2018-03-15,7.703,33.739,180.923,0.050,,3,15
143,2018-03-15,7.680,33.750,180.014,0.050,,3,15
145,2018-03-15,7.664,33.757,179.512,0.047,,3,15
147,2018-03-15,7.639,33.766,178.734,0.048,,3,15
149,2018-03-15,7.608,33.784,178.330,0.046,842.803,3,15
151,2018-03-15,7.578,33.788,177.336,0.047,,3,15
153,2018-03-15,7.552,33.796,176.715,0.047,,3,15
155,2018-03-15,7.525,33.803,175.940,0.045,,3,15
157,2018-03-15,7.491,33.813,175.041,0.047,,3,15
159,2018-03-15,7.471,33.816,174.556,0.046,,3,15
161,2018-03-15,7.451,33.823,173.995,0.046,,3,15
163,2018-03-15,7.423,33.830,173.231,0.045,,3,15
165,2018-03-15,7.398,33.834,172.419,0.046,,3,15
167,2018-03-15,7.366,33.840,171.566,0.046,,3,15
169,2018-03-15,7.341,33.844,170.900,0.046,,3,15
171,2018-03-15,7.315,33.848,170.140,0.045,,3,15
173,2018-03-15,7.296,33.851,169.441,0.045,,3,15
175,2018-03-15,7.276,33.854,168.864,0.046,,3,15
177,2018-03-15,7.257,33.857,168.205,0.044,,3,15
179,2018-03-15,7.239,33.858,167.513,0.045,,3,15
181,2018-03-15,7.219,33.861,166.854,0.046,,3,15
183,2018-03-15,7.194,33.865,166.051,0.046,,3,15
185,2018-03-15,7.178,33.867,165.509,0.047,,3,15
187,2018-03-15,7.125,33.872,163.871,0.046,875.049,3,15
189,2018-03-15,7.053,33.878,159.206,0.045,872.003,3,15
11,2018-04-15,9.226,32.610,321.784,1.183,,4,15
13,2018-04-15,9.227,32.609,322.005,1.083,,4,15
15,2018-04-15,9.219,32.609,322.025,1.052,,4,15
17,2018-04-15,9.214,32.609,322.023,1.070,,4,15
19,2018-04-15,9.209,32.609,322.006,1.114,,4,15
21,2018-04-15,9.200,32.609,322.000,1.134,,4,15
23,2018-04-15,9.195,32.608,322.041,1.152,481.327,4,15
25,2018-04-15,9.176,32.609,321.953,1.187,,4,15
27,2018-04-15,9.164,32.609,321.884,1.247,,4,15
29,2018-04-15,9.154,32.609,321.797,1.313,,4,15
31,2018-04-15,9.142,32.609,321.741,1.341,,4,15
33,2018-04-15,9.122,32.606,321.864,1.378,475.077,4,15
35,2018-04-15,9.125,32.609,321.528,1.411,,4,15
37,2018-04-15,9.122,32.609,321.338,1.433,,4,15
39,2018-04-15,9.121,32.609,321.177,1.439,,4,15
41,2018-04-15,9.119,32.609,321.018,1.449,,4,15
43,2018-04-15,9.111,32.607,320.901,1.474,467.350,4,15
45,2018-04-15,9.118,32.609,320.679,1.430,,4,15
47,2018-04-15,9.118,32.609,320.513,1.404,,4,15
49,2018-04-15,9.117,32.609,320.353,1.378,,4,15
51,2018-04-15,9.116,32.609,320.225,1.349,,4,15
53,2018-04-15,9.103,32.607,319.879,1.283,468.929,4,15
55,2018-04-15,9.113,32.609,319.885,1.291,,4,15
57,2018-04-15,9.110,32.609,319.644,1.245,,4,15
59,2018-04-15,9.107,32.610,319.505,1.209,,4,15
61,2018-04-15,9.102,32.610,319.270,1.160,,4,15
63,2018-04-15,9.079,32.608,318.818,1.056,473.766,4,15
65,2018-04-15,9.092,32.611,318.794,1.059,,4,15
67,2018-04-15,9.084,32.611,318.587,1.008,,4,15
69,2018-04-15,9.076,32.612,318.329,0.963,,4,15
71,2018-04-15,9.067,32.612,318.049,0.917,,4,15
73,2018-04-15,9.011,32.616,316.850,0.782,478.863,4,15
75,2018-04-15,9.029,32.619,316.713,0.800,,4,15
77,2018-04-15,9.010,32.623,315.958,0.755,,4,15
79,2018-04-15,8.980,32.630,314.800,0.678,,4,15
81,2018-04-15,8.938,32.643,312.380,0.599,,4,15
83,2018-04-15,8.799,32.692,305.118,0.497,494.121,4,15
85,2018-04-15,8.768,32.721,300.436,0.453,497.310,4,15
87,2018-04-15,8.721,32.743,296.886,0.439,,4,15
89,2018-04-15,8.638,32.785,291.187,0.375,,4,15
91,2018-04-15,8.557,32.832,284.132,0.337,,4,15
93,2018-04-15,8.442,32.908,274.962,0.293,,4,15
95,2018-04-15,8.208,33.057,257.703,0.220,570.539,4,15
97,2018-04-15,8.280,33.007,261.803,0.240,,4,15
99,2018-04-15,8.174,33.072,255.148,0.208,,4,15
101,2018-04-15,8.113,33.122,250.079,0.187,,4,15
103,2018-04-15,8.043,33.174,244.689,0.162,,4,15
105,2018-04-15,7.955,33.343,229.573,0.113,652.935,4,15
107,2018-04-15,7.954,33.287,234.284,0.127,,4,15
109,2018-04-15,7.930,33.322,231.270,0.113,,4,15
111,2018-04-15,7.909,33.360,228.326,0.097,,4,15
113,2018-04-15,7.891,33.399,225.036,0.089,,4,15
115,2018-04-15,7.884,33.441,221.521,0.082,,4,15
117,2018-04-15,7.882,33.483,218.047,0.074,,4,15
119,2018-04-15,7.880,33.510,216.045,0.068,,4,15
121,2018-04-15,7.882,33.530,213.937,0.064,,4,15
123,2018-04-15,7.886,33.568,210.391,0.061,,4,15
125,2018-04-15,7.887,33.599,207.967,0.059,,4,15
127,2018-04-15,7.882,33.667,201.874,0.053,731.162,4,15
129,2018-04-15,7.885,33.655,202.495,0.056,,4,15
131,2018-04-15,7.881,33.678,200.550,0.055,,4,15
133,2018-04-15,7.877,33.697,198.655,0.053,,4,15
135,2018-04-15,7.873,33.713,197.289,0.050,,4,15
137,2018-04-15,7.869,33.728,195.574,0.048,,4,15
139,2018-04-15,7.859,33.748,193.708,0.048,,4,15
141,2018-04-15,7.852,33.758,192.675,0.049,,4,15
143,2018-04-15,7.841,33.771,191.149,0.047,,4,15
145,2018-04-15,7.821,33.785,189.370,0.046,,4,15
147,2018-04-15,7.806,33.795,188.506,0.047,,4,15
149,2018-04-15,7.764,33.823,184.758,0.044,786.647,4,15
151,2018-04-15,7.774,33.816,185.425,0.044,,4,15
153,2018-04-15,7.748,33.829,183.655,0.044,,4,15
155,2018-04-15,7.723,33.838,182.230,0.043,,4,15
157,2018-04-15,7.701,33.846,181.366,0.044,,4,15
159,2018-04-15,7.685,33.851,180.591,0.043,,4,15
161,2018-04-15,7.661,33.857,179.870,0.042,,4,15
163,2018-04-15,7.638,33.863,179.440,0.042,,4,15
165,2018-04-15,7.620,33.864,178.855,0.043,,4,15
167,2018-04-15,7.591,33.869,178.108,0.041,,4,15
169,2018-04-15,7.549,33.876,177.234,0.040,,4,15
171,2018-04-15,7.516,33.879,176.465,0.042,,4,15
173,2018-04-15,7.489,33.882,175.771,0.040,,4,15
175,2018-04-15,7.467,33.882,174.931,0.041,,4,15
177,2018-04-15,7.446,33.883,174.242,0.041,,4,15
179,2018-04-15,7.419,33.885,173.375,0.041,,4,15
181,2018-04-15,7.394,33.888,172.641,0.042,,4,15
183,2018-04-15,7.376,33.889,171.978,0.042,,4,15
185,2018-04-15,7.338,33.891,170.955,0.042,,4,15
187,2018-04-15,7.309,33.892,170.180,0.042,833.017,4,15
189,2018-04-15,7.306,33.892,169.952,0.042,796.823,4,15
11,2018-05-15,10.669,32.613,319.564,1.301,,5,15
13,2018-05-15,10.679,32.612,319.832,1.059,,5,15
15,2018-05-15,10.676,32.612,319.864,1.083,,5,15
17,2018-05-15,10.656,32.613,320.035,1.067,,5,15
19,2018-05-15,10.623,32.613,320.338,0.999,,5,15
21,2018-05-15,10.570,32.613,320.865,0.994,,5,15
23,2018-05-15,10.598,32.612,320.575,1.012,508.482,5,15
25,2018-05-15,10.440,32.612,322.032,1.003,,5,15
27,2018-05-15,10.313,32.611,323.153,1.012,,5,15
29,2018-05-15,10.162,32.607,324.381,0.999,,5,15
31,2018-05-15,9.976,32.604,325.816,0.966,,5,15
33,2018-05-15,9.967,32.599,325.922,0.943,493.927,5,15
35,2018-05-15,9.706,32.595,327.612,0.997,,5,15
37,2018-05-15,9.625,32.597,327.888,1.067,,5,15
39,2018-05-15,9.566,32.597,327.947,1.141,,5,15
41,2018-05-15,9.524,32.598,327.502,1.201,,5,15
43,2018-05-15,9.499,32.594,328.252,1.147,478.457,5,15
45,2018-05-15,9.477,32.599,326.266,1.268,,5,15
47,2018-05-15,9.464,32.601,325.595,1.326,,5,15
49,2018-05-15,9.443,32.601,324.837,1.357,,5,15
51,2018-05-15,9.430,32.602,324.281,1.369,,5,15
53,2018-05-15,9.446,32.601,324.975,1.313,483.353,5,15
55,2018-05-15,9.405,32.605,322.809,1.388,,5,15
57,2018-05-15,9.379,32.605,322.119,1.393,,5,15
59,2018-05-15,9.353,32.605,321.490,1.414,,5,15
61,2018-05-15,9.315,32.604,320.719,1.378,,5,15
63,2018-05-15,9.336,32.600,321.181,1.390,489.652,5,15
65,2018-05-15,9.261,32.605,319.163,1.284,,5,15
67,2018-05-15,9.219,32.607,318.219,1.234,,5,15
69,2018-05-15,9.186,32.608,317.397,1.132,,5,15
71,2018-05-15,9.140,32.615,316.002,1.042,,5,15
73,2018-05-15,9.127,32.609,316.643,1.087,494.688,5,15
75,2018-05-15,9.041,32.628,313.151,0.865,,5,15
77,2018-05-15,8.976,32.641,311.291,0.788,,5,15
79,2018-05-15,8.906,32.653,309.132,0.731,,5,15
81,2018-05-15,8.837,32.671,306.464,0.651,,5,15
83,2018-05-15,8.785,32.657,306.993,0.621,512.406,5,15
85,2018-05-15,8.849,32.683,305.323,0.632,491.584,5,15
87,2018-05-15,8.652,32.734,298.542,0.489,,5,15
89,2018-05-15,8.573,32.771,293.568,0.434,,5,15
91,2018-05-15,8.494,32.808,289.874,0.388,,5,15
93,2018-05-15,8.425,32.837,286.339,0.346,,5,15
95,2018-05-15,8.528,32.782,292.519,0.379,516.106,5,15
97,2018-05-15,8.260,32.927,275.953,0.272,,5,15
99,2018-05-15,8.200,32.967,271.031,0.239,,5,15
101,2018-05-15,8.150,33.010,266.395,0.215,,5,15
103,2018-05-15,8.060,33.077,258.922,0.186,,5,15
105,2018-05-15,8.024,33.075,260.240,0.185,548.014,5,15
107,2018-05-15,7.968,33.165,250.312,0.155,,5,15
109,2018-05-15,7.947,33.202,245.713,0.137,,5,15
111,2018-05-15,7.925,33.243,241.713,0.119,,5,15
113,2018-05-15,7.925,33.277,237.568,0.106,,5,15
115,2018-05-15,7.930,33.331,233.709,0.101,,5,15
117,2018-05-15,7.939,33.372,230.111,0.095,,5,15
119,2018-05-15,7.942,33.409,226.451,0.087,,5,15
121,2018-05-15,7.946,33.444,222.846,0.082,,5,15
123,2018-05-15,7.960,33.482,219.733,0.078,,5,15
125,2018-05-15,7.967,33.513,217.281,0.073,,5,15
127,2018-05-15,7.972,33.552,214.035,0.070,665.214,5,15
129,2018-05-15,7.983,33.576,212.273,0.068,,5,15
131,2018-05-15,7.992,33.601,210.347,0.064,,5,15
133,2018-05-15,8.001,33.630,208.493,0.065,,5,15
135,2018-05-15,8.007,33.649,207.199,0.059,,5,15
137,2018-05-15,8.010,33.668,206.038,0.060,,5,15
139,2018-05-15,8.010,33.691,205.066,0.057,,5,15
141,2018-05-15,8.009,33.709,203.660,0.056,,5,15
143,2018-05-15,8.007,33.725,202.402,0.060,,5,15
145,2018-05-15,7.999,33.748,201.155,0.053,,5,15
147,2018-05-15,7.996,33.765,200.194,0.052,,5,15
149,2018-05-15,8.022,33.790,199.012,0.049,742.093,5,15
151,2018-05-15,7.983,33.798,198.116,0.049,,5,15
153,2018-05-15,7.974,33.811,197.312,0.049,,5,15
155,2018-05-15,7.959,33.825,196.476,0.047,,5,15
157,2018-05-15,7.945,33.833,195.733,0.046,,5,15
159,2018-05-15,7.929,33.841,194.768,0.043,,5,15
161,2018-05-15,7.903,33.854,193.930,0.044,,5,15
163,2018-05-15,7.884,33.860,193.189,0.042,,5,15
165,2018-05-15,7.862,33.867,192.360,0.042,,5,15
167,2018-05-15,7.838,33.873,191.713,0.042,,5,15
169,2018-05-15,7.814,33.878,191.035,0.042,,5,15
171,2018-05-15,7.790,33.882,190.309,0.042,,5,15
173,2018-05-15,7.770,33.885,189.851,0.043,,5,15
175,2018-05-15,7.748,33.889,189.134,0.041,,5,15
177,2018-05-15,7.734,33.891,188.719,0.041,,5,15
179,2018-05-15,7.715,33.893,188.213,0.041,,5,15
181,2018-05-15,7.698,33.894,187.730,0.043,,5,15
183,2018-05-15,7.681,33.896,187.248,0.042,,5,15
185,2018-05-15,7.649,33.898,186.279,0.040,815.546,5,15
187,2018-05-15,7.620,33.900,185.332,0.041,799.761,5,15
189,2018-05-15,7.499,33.903,182.116,0.040,818.820,5,15
3,2018-06-15,13.295,32.583,300.195,32.046,,6,15
5,2018-06-15,13.259,32.581,299.923,22.972,,6,15
7,2018-06-15,13.253,32.582,299.744,20.145,,6,15
