Date,Salinity,Irradiance,Temperature,Chlorophyll,Chlorophyll2,Prediction1,Nitrate,Nitrate2,Prediction2
2019-02-06,32.857,103.93,5.906,,0.926,,,5.64,
2019-02-07,32.98,107.247,6.352,,0.997,,,6.375,
2019-02-08,32.83,107.73,5.873,,0.893,,,5.884,
2019-02-09,33.002,97.572,6.397,,0.895,,,5.847,
2019-02-10,33.244,95.753,7.121,,1.132,,,5.507,
2019-02-11,33.31,104.833,7.367,,1.319,,,5.677,
2019-02-12,33.495,110.216,7.774,,1.436,,,4.991,
2019-02-13,33.817,105.148,8.911,,1.22,,,5.155,
2019-02-14,33.674,103.179,8.423,,1.329,,,5.194,
2019-02-15,33.663,101.069,8.36,,1.315,,,4.77,
2019-02-16,33.544,122.183,8.077,,1.306,,,5.108,
2019-02-17,33.372,109.562,7.457,,1.22,,,5.111,
2019-02-18,33.441,107.676,7.755,,1.684,,,3.941,
2019-02-19,33.454,109.384,7.733,,1.466,,,4.241,
2019-02-20,33.418,109.44,7.436,,1.538,,,4.767,
2019-02-21,33.823,93.08,8.748,,1.282,,,5.355,
2019-02-22,33.441,102.869,7.692,,1.391,,,4.271,
2019-02-23,33.477,97.394,7.777,,1.556,,,4.24,
2019-02-24,33.832,104.839,8.977,,1.243,,,5.568,
2019-02-25,33.633,102.527,8.454,,1.094,,,5.162,
2019-02-26,33.64,92.934,8.248,,1.004,,,5.162,
2019-02-27,33.62,85.452,8.033,,0.979,,,5.874,
2019-02-28,33.685,104.284,8.045,,0.973,,,6.214,
2019-03-01,33.552,102.305,7.47,,1.075,,,6.607,
2019-03-02,33.467,102.184,7.279,,0.976,,,6.907,
2019-03-03,33.361,102.642,7.13,,0.929,,,6.776,
2019-03-04,33.304,110.567,6.96,,0.959,,,6.939,
2019-03-05,33.315,128.63,6.746,,0.729,,,7.027,
2019-03-06,33.352,146.535,6.623,,0.709,,,7.516,
2019-03-07,33.304,128.068,6.393,,0.667,,,7.412,
2019-03-08,33.27,141.914,6.28,,0.618,,,7.781,
2019-03-09,33.228,153.809,6.236,,0.592,,,7.223,
2019-03-10,33.203,170.071,6.123,,0.738,,,7.7,
2019-03-11,33.191,170.959,6.126,,0.599,,,7.447,
2019-03-12,33.183,162.645,6.099,,0.687,,,7.283,
2019-03-13,33.148,166.584,5.984,,0.64,,,7.216,
2019-03-14,33.119,192.761,6.033,,0.646,,,7.224,
2019-03-15,33.065,197.498,5.911,,0.828,,,7.274,
2019-03-16,33.076,200.484,6.047,,0.762,,,7.374,
2019-03-17,32.998,202.03,5.835,,0.643,,,6.644,
2019-03-18,32.973,200.208,5.741,,0.669,,,6.999,
2019-03-19,32.965,196.468,5.693,,0.585,,,7.084,
2019-03-20,32.964,195.48,5.719,,0.852,,,6.852,
2019-03-21,32.951,199.693,5.825,,1.039,,,6.725,
2019-03-22,32.898,180.228,5.663,,0.88,,,6.288,
2019-03-23,33.002,177.84,5.704,,0.727,,,6.648,
2019-03-24,33.112,182.136,6.007,,0.837,,,7.588,
2019-03-25,33.104,197.448,6.021,,0.976,,,7.372,
2019-03-26,33.015,212.114,5.77,,0.507,,,6.625,
2019-03-27,33.041,207.564,5.782,,0.59,,,7.714,
2019-03-28,33.01,198.17,5.663,,0.685,,,7.782,
2019-03-29,32.99,222.72,5.958,,0.776,,,7.163,
2019-03-30,33.019,221.169,6.044,,0.929,,,6.456,
2019-03-31,33.047,216.606,6.382,,0.923,,,7.726,
2019-04-01,33.061,218.678,6.385,,1.353,,,6.745,
2019-04-02,33.112,212.812,6.395,,1.074,,,6.655,
2019-04-03,33.097,218.061,6.393,,1.03,,,6.534,
2019-04-04,33.116,227.436,6.651,,1.103,,,7.071,
2019-04-05,33.062,203.342,6.391,,1.392,,,7.4,
2019-04-06,33.101,184.136,6.743,,2.007,,,6.292,
2019-04-07,33.081,189.418,6.665,,2.257,,,5.76,
2019-04-08,33.067,186.723,6.866,,2.91,,,0.794,
2019-04-09,33.06,180.059,7.011,,2.701,,,0.723,
2019-04-10,32.957,156.669,6.629,,1.598,,,1.848,
2019-04-11,32.917,145.62,6.62,,2.007,,,0.42,
2019-04-12,32.908,146.904,6.907,,3.04,,,1.501,
2019-04-13,32.89,177.764,6.936,,2.85,,,3.317,
2019-04-14,32.662,177.036,6.492,,0.65,,,4.11,
2019-04-15,32.644,161.824,6.758,,0.41,,,2.558,
2019-04-16,32.685,180.134,6.58,,0.448,,,2.658,
2019-04-17,32.747,194.546,6.681,,0.436,,,2.8,
2019-04-18,32.658,183.083,6.491,,0.339,,,3.335,
2019-04-19,32.528,196.199,6.563,,0.32,,,4.268,
2019-04-20,32.567,179.761,6.891,,0.933,,,2.078,
2019-04-21,32.595,181.57,7.278,,2.49,,,2.5,
2019-04-22,32.681,200.968,7.835,,2.898,,,0.507,
2019-04-23,34.468,182.87,13.654,,2.004,,,0.244,
2019-04-24,32.559,199.433,7.789,,2.494,,,0.826,
2019-04-25,32.503,198.911,7.903,,2.46,,,-0.384,
2019-04-26,32.517,213.144,7.916,,2.845,,,0.299,
2019-04-27,32.548,213.41,7.743,,2.504,,,-0.19,
2019-04-28,32.526,189.994,7.921,,2.684,,,0.767,
2019-04-29,32.537,175.794,7.725,,2.111,,,0.725,
2019-04-30,32.542,180.783,8.02,,1.696,,,0.924,
2019-05-01,32.581,154.705,7.97,,1.821,,,0.112,
2019-05-02,32.504,149.364,8.248,,1.234,,,-0.406,
2019-05-03,32.454,140.701,8.319,,1.384,,,0.747,
2019-05-04,32.539,157.469,8.68,,1.479,,,-0.365,
2019-05-05,33.539,176.872,11.364,,1.629,,,-0.162,
2019-05-06,33.315,194.635,10.444,,1.316,,,0.943,
2019-05-07,33.277,194.974,10.677,,1.176,,,0.846,
2019-05-08,32.821,215.979,9.599,,1.258,,,0.309,
2019-05-09,33.539,217.687,11.682,,1.116,,,0.97,
2019-05-10,34.953,194.443,15.121,,1.38,,,-0.46,
2019-05-11,34.014,175.547,12.621,,1.312,,,-0.094,
2019-05-12,33.754,178.101,11.881,,1.594,,,0.322,
2019-05-13,34.659,175.002,13.48,,1.115,,,0.593,
2019-05-14,34.942,192.305,14.131,,1.101,,,0.511,
2019-05-15,35.116,206.863,14.798,,1.023,,,0.334,
2019-05-16,33.836,242.143,10.658,,1.575,,,1.517,
2019-05-17,33.007,272.671,8.185,,1.48,,,2.847,
2019-05-18,33.037,296.052,9.672,,2.198,,,1.324,
2019-05-19,32.732,264.211,8.809,,2.373,,,1.483,
2019-05-20,32.508,263.07,9.034,,1.633,,,0.085,
2019-05-21,32.607,262.091,10.451,,0.857,,,1.061,
2019-05-22,33.221,,11.321,,1.037,,,-0.2,
2019-05-23,33.149,,11.455,,1.136,,,0.527,
2019-05-24,32.702,,10.777,,0.962,,,0.422,
2019-05-25,32.406,,10.323,,1.277,,,0.646,
2019-05-26,32.468,,10.232,,1.684,,,0.517,
2019-05-27,32.531,,10.703,,1.196,,,-0.082,
2019-05-28,32.336,,10.499,,1.052,,,0.49,
2019-05-29,32.34,,10.508,,0.948,,,-0.063,
2019-05-30,32.45,,10.749,,1.556,,,0.492,
2019-05-31,32.598,,11.612,,1.011,,,0.66,
2019-06-01,32.713,,12.126,,0.909,,,-0.036,
2019-06-02,32.702,,12.386,,1.079,,,-0.036,
2019-06-03,32.826,,13.258,,0.772,,,-0.012,
2019-06-04,32.968,,13.696,,0.768,,,0.719,
2019-06-05,33.235,,14.804,,0.779,,,0.793,
2019-06-06,32.854,,14.196,,0.802,,,0.343,
2019-06-07,32.631,,13.823,,0.825,,,1.298,
2019-06-08,32.68,,14.18,,0.708,,,0.652,
2019-06-09,32.845,,14.798,,0.654,,,0.101,
2019-06-10,32.893,,15.096,,0.617,,,0.589,
2019-06-11,32.94,,15.827,,0.584,,,0.497,
2019-06-12,33.255,288.23,16.45,,0.428,,,0.315,
2019-06-13,33.329,280.028,16.773,,0.443,,,0.396,
2019-06-14,33.557,269.925,17.408,,0.377,,,0.474,
2019-06-15,33.989,236.593,18.034,,0.323,,,0.13,
2019-06-16,33.773,216.517,17.662,,0.335,,,0.319,
2019-06-17,33.751,223.667,17.738,,0.347,,,0.08,
2019-06-18,33.45,199.132,17.126,,0.475,,,1.088,
2019-06-19,33.297,197.835,17.039,,0.497,,,0.661,
2019-06-20,33.052,212.367,16.477,,0.559,,,0.724,
2019-06-21,32.709,228.908,16.197,,0.595,,,0.495,
2019-06-22,32.742,226.305,16.461,,0.527,,,1.119,
2019-06-23,32.641,242.709,16.275,,0.588,,,0.53,
2019-06-24,32.412,259.363,15.804,,0.771,,,0.498,
2019-06-25,32.366,285.134,15.551,,1.025,,,1.371,
2019-06-26,32.545,271.854,15.499,,1.25,,,1.388,
2019-06-27,33.129,267.679,18.099,,0.554,,,1.018,
2019-06-28,32.996,268.859,17.771,,0.624,,,0.671,
2019-06-29,32.984,285.721,18.345,,0.488,,,0.667,
2019-06-30,32.265,295.597,16.911,,0.878,,,0.518,
2019-07-01,32.214,296.655,17.46,,0.764,,,0.709,
2019-07-02,32.116,295.865,17.619,,0.784,,,0.769,
2019-07-03,32.094,301.372,17.463,,0.66,,,0.57,
2019-07-04,32.106,288.929,17.11,,0.595,,,1.57,
2019-07-05,32.147,263.536,15.84,,0.536,,,0.779,
2019-07-06,32.167,275.917,15.11,,0.51,,,0.506,
2019-07-07,32.105,274.732,17.11,,0.43,,,0.679,
2019-07-08,32.079,271.9,18.124,,0.416,,,0.954,
2019-07-09,32.068,264.982,18.444,,0.309,,,0.939,
2019-07-10,32.112,273.835,18.257,,0.308,,,0.852,
2019-07-11,32.099,286.005,18.646,,0.287,,,0.89,
2019-07-12,32.355,309.159,19.984,,0.344,,,1.069,
2019-07-13,32.515,305.375,19.649,,0.437,,,1.177,
2019-07-14,32.428,297.438,20.013,,0.364,,,1.101,
2019-07-15,32.391,273.848,21.123,,0.356,,,1.263,
2019-07-16,32.267,260.349,20.584,,0.405,,,1.28,
2019-07-17,32.387,256.603,21.319,,0.401,,,1.388,
2019-07-18,33.096,256.048,22.877,,0.273,,,1.445,
2019-07-19,33.178,253.484,22.731,,0.265,,,1.589,
2019-07-20,32.542,231.641,22.126,,0.274,,,1.5,
2019-07-21,32.476,216.494,22.332,,0.203,,,1.63,
2019-07-22,33.034,237.168,22.876,,0.17,,,1.43,
2019-07-23,33.047,255.44,23.938,,0.171,,,1.733,
2019-07-24,32.306,254.78,22.17,,0.39,,,1.563,
2019-07-25,32.11,254.817,20.388,,0.529,,,1.268,
2019-07-26,32.241,254.384,20.117,,0.457,,,1.255,
2019-07-27,32.718,274.636,20.211,,0.482,,,1.136,
2019-07-28,32.965,297.608,19.531,,0.549,,,1.423,
2019-07-29,32.631,285.348,20.482,,0.389,,,1.171,
2019-07-30,32.317,276.415,21.387,,0.365,,,1.752,
2019-07-31,32.421,270.253,21.587,,0.3,,,1.509,
2019-08-01,32.872,265.834,22.606,,0.22,,,1.736,
2019-08-02,33.338,259.336,22.309,,0.157,,,1.454,
2019-08-03,33.74,253.726,22.306,,0.168,,,1.307,
2019-08-04,33.565,243.969,22.357,,0.16,,,1.335,
2019-08-05,33.316,,20.801,,0.224,,,1.312,
2019-08-06,33.922,,21.849,,0.238,,,1.291,
2019-08-07,34.207,,23.047,,0.202,,,1.783,
2019-08-08,,,,,,,,,
2019-08-09,,,,,,,,,
2019-08-10,,,,,,,,,
2019-08-11,,,,,,,,,
2019-08-12,,,,,,,,,
2019-08-13,33.395,,23.157,,0.275,,,2.008,
2019-08-14,33.583,174.599,23.505,,0.278,,,1.543,
2019-08-15,33.697,186.126,23.852,,0.206,,,1.796,
2019-08-16,34.092,196.789,24.402,,0.15,,,1.778,
2019-08-17,34.484,229.011,25.228,,0.127,,,1.746,
2019-08-18,34.45,219.702,25.301,,0.124,,,1.828,
2019-08-19,34.252,221.03,25.288,,0.134,,,2.056,
2019-08-20,34.676,222.418,25.985,,0.12,,,1.998,
2019-08-21,34.963,233.79,26.904,,0.16,,,2.095,
2019-08-22,34.717,219.911,26.978,,0.225,,,2.21,
2019-08-23,34.655,222.51,26.752,,0.21,,,2.218,
2019-08-24,34.616,212.395,26.557,,0.225,,,2.157,
2019-08-25,34.771,202.438,26.414,,0.175,,,2.119,
2019-08-26,34.643,190.559,24.562,,0.295,,,2.151,
2019-08-27,34.342,202.97,21.996,,0.193,,,1.445,
2019-08-28,34.457,200.58,22.048,,0.248,,,1.303,
2019-08-29,34.569,214.057,22.589,,0.295,,,1.385,
2019-08-30,34.798,207.683,23.568,,0.213,,,1.583,
2019-08-31,34.776,216.191,23.507,,0.166,,,1.48,
2019-09-01,34.945,235.097,23.855,,0.13,,,1.819,
2019-09-02,34.246,233.741,22.025,,0.165,,,1.729,
2019-09-03,34.61,199.569,22.841,,0.131,,,1.558,
2019-09-04,34.966,181.076,23.593,,0.108,,,2.012,
2019-09-05,35.165,182.538,24.068,,0.121,,,2.068,
2019-09-06,35.272,177.988,24.362,,0.169,,,2.345,
2019-09-07,35.26,175.695,23.577,,0.292,,,2.025,
2019-09-08,35.364,174.766,23.484,,0.229,,,1.558,
2019-09-09,35.212,166.704,23.189,,0.176,,,1.447,
2019-09-10,35.197,198.036,23.124,,0.141,,,1.451,
2019-09-11,35.252,209.355,23.251,,0.115,,,1.806,
2019-09-12,35.238,180.495,23.226,,0.133,,,1.477,
2019-09-13,35.261,172.341,22.772,,0.257,,,1.792,
2019-09-14,35.283,173.92,22.651,,0.271,,,1.377,
2019-09-15,35.281,164.877,22.649,,0.28,,,1.534,
2019-09-16,35.172,186.954,22.354,,0.294,,,1.659,
2019-09-17,35.125,184.358,22.273,,0.288,,,1.738,
2019-09-18,35.012,185.359,21.852,,0.476,,,1.955,
2019-09-19,34.977,208.926,21.348,,0.624,,,1.36,
2019-09-20,34.691,215.809,20.571,,1.104,,,1.313,
2019-09-21,34.498,208.639,20.162,,1.213,,,1.533,
2019-09-22,34.536,218.675,20.43,,0.712,,,1.389,
2019-09-23,34.841,208.561,21.136,,0.48,,,1.642,
2019-09-24,34.735,207.567,21.086,,0.511,,,1.687,
2019-09-25,34.747,205.929,21.049,,0.441,,,1.715,
2019-09-26,34.92,204.113,21.256,,0.386,,,1.447,
2019-09-27,35.375,206.236,22.906,,0.154,,,-0.498,
2019-09-28,35.255,200.139,22.678,,0.14,,,-0.371,
2019-09-29,35.537,191.052,23.485,,0.107,,,-0.178,
2019-09-30,35.903,173.809,23.952,,0.156,,,-0.147,
2019-10-01,35.029,162.1,21.674,,0.234,,,-0.141,
2019-10-02,35.408,158.285,22.694,,0.165,,,-0.069,
2019-10-03,35.757,153.962,23.341,,0.193,,,-0.0,
2019-10-04,35.862,142.842,23.382,,0.243,,,0.007,
2019-10-05,34.93,124.418,21.082,,0.295,,,-0.062,
2019-10-06,34.721,109.54,20.522,,0.3,,,0.102,
2019-10-07,36.001,105.671,23.256,,0.407,,,0.09,
2019-10-08,35.975,89.085,22.986,,0.376,,,0.055,
2019-10-09,35.753,69.311,22.317,,0.36,,,0.076,
2019-10-10,35.402,66.252,21.331,,0.312,,,-1.397,
2019-10-11,34.984,62.052,19.935,,0.268,,,1.074,
2019-10-12,35.801,85.479,22.577,,0.241,,,0.817,
2019-10-13,35.981,94.841,23.163,,0.272,,,-1.836,
2019-10-14,35.894,104.514,22.721,,0.433,,,0.681,
2019-10-15,35.513,110.024,21.313,,0.486,,,0.691,
2019-10-16,35.084,123.557,20.028,,0.495,,,-0.786,
2019-10-17,35.598,114.938,21.084,,0.511,,,0.613,
2019-10-18,35.33,109.192,19.622,,0.49,,,0.553,
2019-10-19,35.11,94.607,19.043,,0.438,,,1.166,
2019-10-20,34.833,95.651,18.358,,0.526,,,0.291,
2019-10-21,34.885,105.885,18.43,,0.436,,,0.921,
2019-10-22,35.147,113.029,18.891,,0.406,,,0.956,
2019-10-23,35.303,114.632,19.333,,0.498,,,0.191,
2019-10-24,35.498,104.876,19.892,,0.755,,,0.048,
2019-10-25,35.19,106.859,18.991,,0.461,,,0.421,
2019-10-26,34.843,104.552,18.063,,0.553,,,1.304,
2019-10-27,34.901,96.688,18.179,,0.629,,,1.27,
2019-10-28,35.2,85.705,19.349,,0.523,,,0.594,
2019-10-29,35.356,90.034,19.936,,0.516,,,1.301,
2019-10-30,35.356,83.188,20.016,,0.558,,,1.353,
2019-10-31,35.291,91.472,20.117,,0.649,,,0.047,
2019-11-01,35.239,100.636,20.134,,0.706,,,0.185,
2019-11-02,35.242,100.536,19.876,,0.777,,,1.137,
2019-11-03,35.28,103.11,19.872,,0.796,,,0.127,
2019-11-04,35.246,103.658,19.431,,0.704,,,0.747,
2019-11-05,35.386,94.746,19.551,,0.653,,,0.201,
2019-11-06,34.97,93.698,18.781,,1.022,,,-0.322,
2019-11-07,34.092,94.339,17.148,,1.42,,,0.846,
2019-11-08,34.064,89.37,17.136,,1.353,,,0.9,
2019-11-09,34.502,84.238,17.656,,1.068,,,-0.479,
2019-11-10,34.375,82.095,17.213,,1.082,,,0.441,
2019-11-11,34.307,79.529,17.065,,1.097,,,0.587,
2019-11-12,34.35,72.85,17.133,,1.13,,,-0.232,
2019-11-13,34.594,75.72,17.4,,0.745,,,-0.376,
2019-11-14,34.767,67.802,17.444,,0.641,,,1.166,
2019-11-15,34.811,57.888,17.408,,0.569,,,1.119,
2019-11-16,34.934,64.123,17.49,,0.449,,,0.57,
2019-11-17,34.835,56.656,17.028,,0.464,,,1.913,
2019-11-18,34.524,65.601,16.156,,0.73,,,0.73,
2019-11-19,34.356,69.12,15.768,,0.823,,,1.215,
2019-11-20,34.391,70.19,15.88,,0.751,,,1.483,
2019-11-21,34.382,70.521,15.465,,0.856,,,2.032,
2019-11-22,34.202,88.631,14.999,,1.164,,,1.401,
2019-11-23,33.88,108.209,14.342,,1.069,,,1.726,
2019-11-24,33.879,108.386,14.157,,1.038,,,2.372,
2019-11-25,33.983,94.39,14.218,,0.999,,,2.685,
2019-11-26,33.939,93.969,13.965,,1.325,,,1.754,
2019-11-27,33.844,94.916,13.837,,1.348,,,2.034,
2019-11-28,34.013,96.975,14.186,,1.166,,,1.209,
2019-11-29,33.841,80.256,13.841,,0.892,,,2.271,
2019-11-30,33.724,53.048,13.549,,0.836,,,3.086,
2019-12-01,33.608,53.876,13.054,,1.001,,,2.516,
2019-12-02,33.876,56.095,13.446,,0.872,,,2.653,
2019-12-03,34.01,59.695,13.562,,0.639,,,3.135,
2019-12-04,33.666,54.338,12.631,,0.647,,,3.782,
2019-12-05,33.209,62.353,11.862,,0.718,,,3.967,
2019-12-06,33.125,59.501,11.671,,0.7,,,4.264,
2019-12-07,33.337,62.063,11.91,,0.7,,,3.998,
2019-12-08,33.761,60.482,12.391,,0.665,,,4.365,
2019-12-09,33.81,69.402,12.423,,0.641,,,4.501,
2019-12-10,34.067,66.289,13.15,,0.416,,,3.942,
2019-12-11,33.764,55.437,12.45,,0.661,,,4.04,
2019-12-12,33.707,44.401,12.227,,0.692,,,4.011,
2019-12-13,33.651,44.644,11.972,,0.774,,,4.25,
2019-12-14,33.984,40.568,12.778,,0.661,,,3.699,
2019-12-15,34.094,45.278,13.09,,0.539,,,4.191,
2019-12-16,33.361,37.52,11.57,,0.501,,,4.395,
2019-12-17,33.289,37.415,11.353,,0.537,,,4.376,
2019-12-18,33.279,44.732,11.324,,0.527,,,4.619,
2019-12-19,33.358,55.393,11.34,,0.453,,,4.633,
2019-12-20,33.415,64.608,11.214,,0.455,,,4.557,
2019-12-21,33.165,79.902,10.446,,0.535,,,4.458,
2019-12-22,33.188,84.966,10.547,,0.481,,,5.271,
2019-12-23,33.09,82.61,10.278,,0.541,,,5.54,
2019-12-24,33.027,85.452,10.221,,0.555,,,5.298,
2019-12-25,32.975,90.563,9.925,,0.6,,,5.607,
2019-12-26,33.054,88.152,10.096,,0.685,,,5.5,
2019-12-27,33.15,77.321,10.26,,0.732,,,5.295,
2019-12-28,33.292,66.353,10.595,,0.869,,,4.407,
2019-12-29,33.06,55.557,10.117,,0.664,,,5.109,
2019-12-30,33.381,63.358,10.592,,0.793,,,4.73,
2019-12-31,34.463,54.606,12.995,,0.517,,,4.465,
2020-01-01,34.408,42.075,12.906,,0.388,,,5.406,
2020-01-02,34.08,36.777,11.863,,0.468,,,5.445,
2020-01-03,33.764,37.708,11.148,,0.557,,,4.989,
2020-01-04,33.763,39.662,11.162,,0.536,,,4.778,
2020-01-05,33.265,45.698,10.018,,0.62,,,5.589,
2020-01-06,33.516,50.347,10.2,,0.522,,,6.048,
2020-01-07,33.336,56.821,9.76,,0.505,,,6.26,
2020-01-08,33.329,63.022,9.814,,0.518,,,5.748,
2020-01-09,33.372,64.639,9.897,,0.467,,,5.731,
2020-01-10,33.392,66.52,9.813,,0.507,,,5.614,
2020-01-11,33.318,62.358,9.607,,0.549,,,6.165,
2020-01-12,33.439,69.479,10.075,,0.605,,,5.449,
2020-01-13,33.256,62.943,9.579,,0.601,,,6.18,
2020-01-14,33.153,71.259,9.338,,0.605,,,5.908,
2020-01-15,32.961,71.941,8.799,,0.527,,,6.7,
2020-01-16,33.535,74.729,10.191,,0.804,,,5.462,
2020-01-17,33.369,75.524,9.689,,0.587,,,6.333,
2020-01-18,33.501,88.927,9.745,,0.639,,,6.173,
2020-01-19,33.555,91.517,9.805,,0.605,,,5.773,
2020-01-20,33.243,96.194,8.97,,0.578,,,6.733,
2020-01-21,33.462,97.189,9.174,,0.502,,,6.608,
2020-01-22,33.385,96.996,8.849,,0.45,,,7.587,
2020-01-23,33.36,100.941,8.888,,0.446,,,7.25,
2020-01-24,33.274,101.539,8.764,,0.467,,,7.334,
2020-01-25,33.52,92.748,9.465,,0.347,,,8.059,
2020-01-26,34.774,78.289,12.532,,0.298,,,7.434,
2020-01-27,33.281,80.862,8.759,,0.382,,,7.776,
2020-01-28,33.435,76.059,8.895,,0.446,,,7.981,
2020-01-29,33.087,72.979,8.011,,0.483,,,7.928,
2020-01-30,33.049,70.167,7.778,,0.498,,,7.9,
2020-01-31,33.393,81.852,8.4,,0.608,,,7.557,
2020-02-01,32.864,81.661,7.302,,0.728,,,7.37,
2020-02-02,32.843,85.178,7.251,,0.615,,,7.714,
2020-02-03,32.882,69.615,7.256,,0.581,,,8.229,
2020-02-04,32.876,65.626,7.351,,0.572,,,8.1,
2020-02-05,32.854,80.74,7.4,,0.567,,,7.827,
2020-02-06,32.972,90.025,7.592,,0.561,,,7.695,
2020-02-07,33.046,85.263,7.921,,0.529,,,7.847,
2020-02-08,33.03,78.908,7.823,,0.363,,,8.709,
2020-02-09,32.978,92.137,7.679,,0.37,,,8.442,
2020-02-10,32.895,92.722,7.545,,0.414,,,8.374,
2020-02-11,32.878,92.716,7.628,,0.479,,,7.918,
2020-02-12,32.874,93.057,7.684,,0.422,,,8.373,
2020-02-13,32.903,87.359,7.658,,0.546,,,8.344,
2020-02-14,32.881,96.664,7.583,,0.515,,,7.946,
2020-02-15,32.872,106.338,7.403,,0.447,,,8.251,
2020-02-16,32.839,96.736,7.308,,0.469,,,8.202,
2020-02-17,32.892,108.896,7.353,,0.498,,,8.34,
2020-02-18,32.87,117.885,7.276,,0.533,,,8.451,
2020-02-19,32.866,122.02,7.318,,0.51,,,8.678,
2020-02-20,32.845,132.523,7.217,,0.468,,,8.338,
2020-02-21,32.938,133.515,7.226,,0.488,,,8.643,
2020-02-22,32.931,127.239,7.053,,0.693,,,8.178,
2020-02-23,33.07,125.841,7.392,,0.609,,,7.913,
2020-02-24,33.516,120.686,8.508,,0.575,,,7.332,
2020-02-25,33.196,123.754,7.969,,0.741,,,8.13,
2020-02-26,32.813,118.705,7.318,,0.881,,,8.23,
2020-02-27,32.773,108.65,7.032,,0.702,,,7.829,
2020-02-28,32.855,108.907,7.058,,0.489,,,8.416,
2020-02-29,32.878,124.905,7.078,,0.491,,,7.941,
2020-03-01,32.902,144.09,7.006,,0.486,,,8.727,
2020-03-02,32.863,163.552,6.855,,0.503,,,8.339,
2020-03-03,32.846,155.213,6.889,,0.487,,,8.493,
2020-03-04,32.838,158.431,6.973,,0.504,,,8.17,
2020-03-05,32.873,171.795,7.122,,0.513,,,8.671,
2020-03-06,32.885,175.812,7.128,,0.578,,,8.695,
2020-03-07,32.948,172.554,7.028,,0.561,,,8.342,
2020-03-08,33.006,170.749,7.126,,0.443,,,8.715,
2020-03-09,32.902,161.321,6.823,,0.488,,,7.838,
2020-03-10,33.126,157.653,7.488,,0.55,,,7.827,
2020-03-11,33.063,167.719,7.422,,0.587,,,7.814,
2020-03-12,33.053,169.085,7.366,,0.575,,,8.435,
2020-03-13,34.242,172.448,10.62,,0.809,,,6.712,
2020-03-14,33.313,166.31,8.095,,0.669,,,8.168,
2020-03-15,33.028,173.439,7.153,,0.578,,,7.913,
2020-03-16,33.154,163.854,7.564,,0.756,,,7.581,
2020-03-17,32.961,175.39,6.995,,0.599,,,7.761,
2020-03-18,32.856,155.662,6.882,,0.688,,,7.086,
2020-03-19,33.135,159.194,7.792,,1.102,,,7.318,
2020-03-20,33.264,132.946,8.269,,1.218,,,6.938,
2020-03-21,32.927,139.817,7.412,,0.981,,,6.348,
2020-03-22,33.021,110.764,7.506,,0.865,,,6.984,
2020-03-23,32.998,131.6,7.156,,0.645,,,7.685,
2020-03-24,32.829,132.573,6.904,,0.777,,,6.982,
2020-03-25,33.265,129.219,7.906,,0.801,,,7.862,
2020-03-26,33.905,109.307,9.455,,0.546,,,7.467,
2020-03-27,33.913,120.683,9.486,,0.81,,,7.459,
