time,Chlorophyll,Northward Wind Speed,pCO2,pH,Weekly Northward Wind Speed
2020-12-17 00:00:00,0.493,-0.731,392.775,8.065,4.778
2020-12-18 00:00:00,0.414,6.561,395.684,8.064,5.881
2020-12-19 00:00:00,0.479,6.038,397.878,8.06,3.736
2020-12-20 00:00:00,0.554,3.713,400.069,8.058,2.538
2020-12-21 00:00:00,0.381,8.874,402.741,8.057,2.978
2020-12-22 00:00:00,0.377,-6.071,400.021,8.06,2.849
2020-12-23 00:00:00,0.32,-0.619,382.053,8.057,2.715
2020-12-24 00:00:00,0.419,2.349,379.819,8.066,2.894
2020-12-25 00:00:00,0.436,5.663,388.329,8.069,1.515
2020-12-26 00:00:00,0.399,5.095,400.755,8.063,2.552
2020-12-27 00:00:00,0.375,4.967,403.54,8.059,3.988
2020-12-28 00:00:00,0.393,-0.777,400.312,8.064,4.058
2020-12-29 00:00:00,0.461,1.189,397.552,8.066,4.499
2020-12-30 00:00:00,0.486,9.427,391.491,8.072,5.164
2020-12-31 00:00:00,0.388,2.838,402.528,8.059,5.412
2021-01-01 00:00:00,0.614,8.754,405.238,8.056,6.543
2021-01-02 00:00:00,0.605,9.751,414.761,8.048,7.505
2021-01-03 00:00:00,0.741,6.702,418.292,8.043,6.945
2021-01-04 00:00:00,0.604,7.137,417.81,8.047,6.907
2021-01-05 00:00:00,0.515,7.927,418.431,8.048,5.84
2021-01-06 00:00:00,0.509,5.504,424.225,8.045,4.669
2021-01-07 00:00:00,0.54,2.575,420.86,8.042,4.672
2021-01-08 00:00:00,0.572,1.281,404.192,8.057,4.788
2021-01-09 00:00:00,0.611,1.554,403.165,8.06,5.588
2021-01-10 00:00:00,0.718,6.723,413.39,8.053,5.402
2021-01-11 00:00:00,0.479,7.95,422.334,8.043,5.287
2021-01-12 00:00:00,0.399,13.528,424.045,8.045,5.399
2021-01-13 00:00:00,0.44,4.205,428.834,8.036,5.014
2021-01-14 00:00:00,0.489,1.765,419.871,8.047,3.908
2021-01-15 00:00:00,0.479,2.065,412.564,8.053,1.825
2021-01-16 00:00:00,0.474,-1.136,414.889,8.05,-0.476
2021-01-17 00:00:00,0.56,-1.02,414.467,8.048,-1.429
2021-01-18 00:00:00,0.702,-6.633,418.309,8.052,-1.719
2021-01-19 00:00:00,0.561,-2.578,422.102,8.045,-2.88
2021-01-20 00:00:00,0.266,-2.468,416.15,8.039,-3.339
2021-01-21 00:00:00,0.425,-0.262,416.53,8.039,-3.077
2021-01-22 00:00:00,0.419,-6.064,421.687,8.037,-2.286
2021-01-23 00:00:00,0.496,-4.349,421.841,8.044,-0.938
2021-01-24 00:00:00,0.458,0.816,426.532,8.042,0.305
2021-01-25 00:00:00,0.467,-1.097,426.427,8.043,1.132
2021-01-26 00:00:00,0.66,6.861,412.096,8.055,2.52
2021-01-27 00:00:00,0.524,6.233,430.912,8.044,4.428
2021-01-28 00:00:00,0.551,5.523,417.105,8.052,5.816
2021-01-29 00:00:00,0.682,3.657,416.835,8.055,6.967
2021-01-30 00:00:00,0.612,9.001,417.416,8.054,6.794
2021-01-31 00:00:00,0.504,10.536,424.319,8.047,6.27
2021-02-01 00:00:00,0.539,6.96,425.401,8.048,5.376
2021-02-02 00:00:00,0.429,5.645,443.319,8.036,4.713
2021-02-03 00:00:00,0.593,2.565,421.555,8.05,3.395
2021-02-04 00:00:00,0.819,-0.729,402.705,8.071,1.445
2021-02-05 00:00:00,0.876,-0.988,398.515,8.073,0.127
2021-02-06 00:00:00,1.05,-0.225,401.156,8.072,-1.009
2021-02-07 00:00:00,0.984,-3.114,412.306,8.06,-1.868
2021-02-08 00:00:00,1.096,-2.264,396.41,8.071,-1.778
2021-02-09 00:00:00,0.711,-2.309,383.706,8.07,-1.055
2021-02-10 00:00:00,0.518,-3.447,379.211,8.069,-0.64
2021-02-11 00:00:00,0.714,-0.097,387.034,8.074,0.6
2021-02-12 00:00:00,0.811,4.07,399.211,8.075,1.485
2021-02-13 00:00:00,0.655,2.677,404.575,8.07,1.34
2021-02-14 00:00:00,0.844,5.571,398.155,8.077,1.271
2021-02-15 00:00:00,0.695,3.932,410.2,8.066,1.995
2021-02-16 00:00:00,0.589,-3.325,410.197,8.066,1.775
2021-02-17 00:00:00,0.566,-3.928,401.577,8.069,1.285
2021-02-18 00:00:00,0.529,4.969,395.322,8.072,1.203
2021-02-19 00:00:00,0.467,2.531,403.766,8.069,1.568
2021-02-20 00:00:00,0.371,-0.755,404.213,8.073,1.579
2021-02-21 00:00:00,0.374,5.0,403.38,8.075,1.537
2021-02-22 00:00:00,0.593,6.487,399.524,8.078,0.789
2021-02-23 00:00:00,0.498,-3.254,401.98,8.068,-0.08
2021-02-24 00:00:00,0.653,-4.221,390.994,8.082,-0.686
2021-02-25 00:00:00,0.656,-0.264,385.753,8.085,-0.883
2021-02-26 00:00:00,0.876,-3.554,377.934,8.091,-1.554
2021-02-27 00:00:00,0.965,-4.996,369.91,8.099,-1.502
2021-02-28 00:00:00,0.933,3.619,375.516,8.092,-1.376
2021-03-01 00:00:00,1.28,1.795,358.305,8.109,-0.23
2021-03-02 00:00:00,1.458,-2.895,355.394,8.105,1.577
2021-03-03 00:00:00,1.701,-3.337,367.412,8.1,3.246
2021-03-04 00:00:00,1.372,7.756,374.683,8.104,3.784
2021-03-05 00:00:00,1.78,9.098,350.881,8.128,4.15
2021-03-06 00:00:00,1.274,6.684,359.993,8.12,5.77
2021-03-07 00:00:00,1.18,7.389,364.265,8.116,6.182
2021-03-08 00:00:00,1.178,4.354,358.127,8.118,4.333
2021-03-09 00:00:00,0.992,8.444,375.184,8.104,2.421
2021-03-10 00:00:00,1.123,-0.452,366.648,8.111,1.564
2021-03-11 00:00:00,1.149,-5.184,364.556,8.119,1.192
2021-03-12 00:00:00,1.229,-4.291,348.826,8.123,-0.706
2021-03-13 00:00:00,1.473,0.69,335.467,8.136,-2.231
2021-03-14 00:00:00,1.25,4.785,351.848,8.128,-2.586
2021-03-15 00:00:00,0.994,-8.931,352.81,8.131,
2021-03-16 00:00:00,1.485,,339.562,8.142,
2021-03-17 00:00:00,1.802,,324.186,8.161,
2021-03-18 00:00:00,2.663,,299.025,8.192,
2021-03-19 00:00:00,1.418,,333.366,8.158,
2021-03-20 00:00:00,1.458,1.208,328.071,8.161,
2021-03-21 00:00:00,1.441,0.61,326.199,8.161,-0.695
2021-03-22 00:00:00,1.004,1.099,350.352,8.136,-1.482
2021-03-23 00:00:00,0.898,-5.146,345.045,8.142,-1.765
2021-03-24 00:00:00,1.18,-1.247,342.474,8.128,-2.707
2021-03-25 00:00:00,1.422,-5.415,324.376,8.154,-2.607
2021-03-26 00:00:00,1.684,-3.465,312.531,8.169,-3.61
2021-03-27 00:00:00,1.128,-5.383,314.454,8.15,-3.726
2021-03-28 00:00:00,2.03,1.304,290.882,8.164,-4.323
2021-03-29 00:00:00,1.756,-5.919,339.089,8.144,-4.021
2021-03-30 00:00:00,2.089,-5.955,322.054,8.152,-4.036
2021-03-31 00:00:00,1.839,-5.43,328.935,8.118,-3.906
2021-04-01 00:00:00,2.253,-3.301,237.581,8.145,-5.283
2021-04-02 00:00:00,0.932,-3.569,280.292,8.086,-5.232
2021-04-03 00:00:00,1.775,-4.474,268.856,8.131,-5.341
2021-04-04 00:00:00,2.411,-8.332,301.835,8.132,-4.779
2021-04-05 00:00:00,1.292,-5.564,366.06,8.101,-4.586
2021-04-06 00:00:00,1.928,-6.716,334.86,8.126,-4.571
2021-04-07 00:00:00,1.747,-1.494,333.542,8.115,-4.169
2021-04-08 00:00:00,1.32,-1.953,269.349,8.161,-4.053
2021-04-09 00:00:00,1.683,-3.463,216.554,8.169,-4.411
2021-04-10 00:00:00,1.029,-1.66,214.384,8.207,-4.575
2021-04-11 00:00:00,1.434,-7.524,241.027,8.174,-5.265
2021-04-12 00:00:00,2.393,-8.069,347.262,8.116,-5.706
2021-04-13 00:00:00,2.541,-7.863,414.752,8.081,-5.795
2021-04-14 00:00:00,3.871,-6.325,344.858,8.134,-5.768
2021-04-15 00:00:00,4.106,-5.036,267.21,8.192,-4.437
2021-04-16 00:00:00,3.995,-4.089,240.132,8.173,-3.213
2021-04-17 00:00:00,4.088,-1.474,222.501,8.158,-3.067
2021-04-18 00:00:00,2.828,1.798,179.77,8.239,-3.265
2021-04-19 00:00:00,2.499,0.499,169.857,8.227,-2.958
2021-04-20 00:00:00,2.33,-6.843,174.876,8.222,-2.3
2021-04-21 00:00:00,2.349,-7.715,308.863,8.149,-1.35
2021-04-22 00:00:00,2.635,-2.885,329.256,8.125,-0.933
2021-04-23 00:00:00,2.613,0.52,217.462,8.202,-0.51
2021-04-24 00:00:00,1.574,5.175,214.327,8.226,0.448
2021-04-25 00:00:00,1.208,4.717,256.954,8.207,0.989
2021-04-26 00:00:00,2.072,3.463,244.382,8.223,1.144
2021-04-27 00:00:00,2.213,-0.136,235.583,8.231,1.588
2021-04-28 00:00:00,2.245,-3.933,196.017,8.217,0.124
2021-04-29 00:00:00,1.628,-1.801,211.501,8.246,-1.023
2021-04-30 00:00:00,2.024,3.634,244.582,8.231,-1.568
2021-05-01 00:00:00,1.764,-5.073,246.957,8.219,-2.219
2021-05-02 00:00:00,1.858,-3.313,226.07,8.203,-2.398
2021-05-03 00:00:00,1.399,-0.351,217.323,8.195,-1.437
2021-05-04 00:00:00,1.005,-4.699,230.01,8.22,-2.143
2021-05-05 00:00:00,1.109,-5.182,300.326,8.158,-1.391
2021-05-06 00:00:00,1.409,4.927,263.223,8.205,-1.131
2021-05-07 00:00:00,1.021,-1.31,253.941,8.209,-2.251
2021-05-08 00:00:00,0.643,0.192,246.348,8.214,-2.697
2021-05-09 00:00:00,0.463,-1.495,247.869,8.212,-2.937
2021-05-10 00:00:00,0.587,-8.189,249.41,8.206,-4.545
2021-05-11 00:00:00,0.487,-7.826,437.287,7.998,-5.179
2021-05-12 00:00:00,0.501,-6.86,479.522,7.937,-6.237
2021-05-13 00:00:00,1.004,-6.331,,,-6.898
2021-05-14 00:00:00,1.174,-5.749,,,-5.729
2021-05-15 00:00:00,0.945,-7.209,,,-4.198
2021-05-16 00:00:00,0.682,-6.124,,,-3.602
2021-05-17 00:00:00,0.565,-0.002,464.25,7.933,-3.193
2021-05-18 00:00:00,2.434,2.886,361.338,7.987,-3.024
2021-05-19 00:00:00,6.715,-2.684,239.781,8.182,-2.654
2021-05-20 00:00:00,4.748,-3.466,247.151,8.101,-1.655
2021-05-21 00:00:00,5.62,-4.57,171.881,8.13,-0.974
2021-05-22 00:00:00,7.274,-4.616,295.91,8.072,-1.376
2021-05-23 00:00:00,8.317,0.869,221.742,8.12,-1.14
2021-05-24 00:00:00,7.773,4.76,220.4,8.13,0.198
2021-05-25 00:00:00,3.93,0.078,206.382,8.27,0.505
2021-05-26 00:00:00,2.01,-1.032,231.302,8.262,0.103
2021-05-27 00:00:00,2.289,5.895,245.807,8.221,-0.684
2021-05-28 00:00:00,2.661,-2.417,294.847,8.163,-1.98
2021-05-29 00:00:00,4.757,-7.433,234.143,8.236,-2.739
2021-05-30 00:00:00,3.215,-4.64,270.839,8.169,-2.914
2021-05-31 00:00:00,1.499,-4.307,265.079,8.126,-4.177
2021-06-01 00:00:00,1.526,-5.24,272.299,8.069,-4.475
2021-06-02 00:00:00,5.14,-2.253,264.687,8.115,-3.456
2021-06-03 00:00:00,4.033,-2.949,274.359,7.927,-2.583
2021-06-04 00:00:00,4.673,-4.502,302.417,8.24,-1.694
2021-06-05 00:00:00,3.721,-0.303,246.354,8.233,-0.703
2021-06-06 00:00:00,3.279,1.473,223.158,8.226,0.056
2021-06-07 00:00:00,2.976,1.913,237.036,8.127,0.737
2021-06-08 00:00:00,1.522,1.702,235.2,8.22,2.459
2021-06-09 00:00:00,1.055,3.058,229.722,8.235,3.037
2021-06-10 00:00:00,0.978,1.821,222.455,8.214,3.525
2021-06-11 00:00:00,0.841,7.553,242.358,8.228,3.818
2021-06-12 00:00:00,1.297,3.741,253.279,8.214,4.33
2021-06-13 00:00:00,0.861,4.888,260.421,8.203,3.33
2021-06-14 00:00:00,0.986,3.964,257.504,8.21,2.043
2021-06-15 00:00:00,0.673,5.284,268.196,8.196,-0.337
2021-06-16 00:00:00,0.46,-3.941,280.725,8.18,-2.061
2021-06-17 00:00:00,0.581,-7.189,282.527,8.18,-3.912
2021-06-18 00:00:00,1.013,-9.109,286.42,8.172,-4.97
2021-06-19 00:00:00,0.474,-8.322,402.971,8.045,-5.855
2021-06-20 00:00:00,0.567,-8.072,491.919,7.93,-5.74
2021-06-21 00:00:00,0.487,-3.439,531.283,7.915,-5.258
2021-06-22 00:00:00,0.907,-0.916,476.998,7.954,-4.331
2021-06-23 00:00:00,3.591,-3.133,460.677,7.929,-3.113
2021-06-24 00:00:00,4.231,-3.817,392.874,7.986,-2.141
2021-06-25 00:00:00,5.302,-2.621,411.894,7.96,-0.914
2021-06-26 00:00:00,6.369,0.204,458.927,7.935,0.091
2021-06-27 00:00:00,7.203,-1.268,397.789,8.001,1.443
2021-06-28 00:00:00,11.417,5.151,252.714,8.141,1.548
2021-06-29 00:00:00,7.028,6.124,258.243,8.175,1.122
2021-06-30 00:00:00,3.177,6.329,302.878,8.174,0.232
2021-07-01 00:00:00,3.637,-3.08,284.632,8.206,-0.299
2021-07-02 00:00:00,7.554,-5.608,216.51,8.184,-1.879
2021-07-03 00:00:00,8.807,-6.026,228.047,8.21,-3.653
2021-07-04 00:00:00,4.527,-4.984,267.37,8.194,-4.689
2021-07-05 00:00:00,3.041,-5.906,272.725,8.188,-4.606
2021-07-06 00:00:00,5.72,-6.296,289.966,8.15,-4.482
2021-07-07 00:00:00,7.646,-0.921,293.148,8.085,-4.356
2021-07-08 00:00:00,7.657,-2.503,255.009,8.144,-4.623
2021-07-09 00:00:00,6.053,-4.735,253.838,8.103,-4.602
2021-07-10 00:00:00,6.176,-5.145,298.434,8.029,-4.471
2021-07-11 00:00:00,11.048,-6.857,393.784,8.058,-5.079
2021-07-12 00:00:00,6.922,-5.759,531.76,7.897,-5.224
2021-07-13 00:00:00,5.964,-5.378,562.872,7.864,-4.68
2021-07-14 00:00:00,5.066,-5.174,564.588,7.878,-4.039
2021-07-15 00:00:00,3.948,-3.523,,7.84,-3.62
2021-07-16 00:00:00,2.576,-0.925,569.333,7.86,-3.185
2021-07-17 00:00:00,5.947,-0.657,447.208,7.879,-2.83
2021-07-18 00:00:00,8.114,-3.921,378.949,7.912,-2.459
2021-07-19 00:00:00,5.367,-2.717,357.285,7.892,-2.651
2021-07-20 00:00:00,7.164,-2.895,271.724,8.003,-3.069
2021-07-21 00:00:00,9.426,-2.573,271.907,8.074,-3.864
2021-07-22 00:00:00,6.324,-4.867,259.938,8.018,-4.213
2021-07-23 00:00:00,7.604,-3.85,265.106,8.012,-4.768
2021-07-24 00:00:00,9.206,-6.227,368.833,8.019,-4.874
2021-07-25 00:00:00,7.152,-6.36,530.117,7.916,-5.098
2021-07-26 00:00:00,4.406,-6.605,,7.869,-5.102
2021-07-27 00:00:00,4.214,-3.639,549.924,7.858,-5.151
2021-07-28 00:00:00,7.043,-4.135,503.878,7.915,-4.617
2021-07-29 00:00:00,3.955,-4.899,488.186,7.873,-4.309
2021-07-30 00:00:00,6.732,-4.188,511.215,7.944,-4.361
2021-07-31 00:00:00,6.43,-2.496,428.72,7.928,-4.268
2021-08-01 00:00:00,9.665,-4.203,372.665,7.998,-4.411
2021-08-02 00:00:00,10.364,-6.967,453.443,8.043,-4.072
2021-08-03 00:00:00,10.39,-2.991,422.356,8.046,-3.108
2021-08-04 00:00:00,12.317,-5.133,355.607,8.086,-2.818
2021-08-05 00:00:00,7.626,-2.527,505.178,7.989,-2.386
2021-08-06 00:00:00,11.332,2.561,296.876,8.079,-2.195
2021-08-07 00:00:00,14.081,-0.467,233.118,8.105,-2.762
2021-08-08 00:00:00,8.3,-1.175,237.701,7.984,-2.822
2021-08-09 00:00:00,9.729,-5.631,253.4,8.06,-2.312
2021-08-10 00:00:00,12.275,-6.963,310.081,8.151,-2.432
2021-08-11 00:00:00,10.52,-5.554,371.125,8.067,-2.291
2021-08-12 00:00:00,7.185,1.044,357.008,7.961,-2.121
2021-08-13 00:00:00,15.03,1.724,201.328,8.139,-1.222
2021-08-14 00:00:00,16.201,0.516,186.528,8.14,-0.49
2021-08-15 00:00:00,12.435,0.021,192.053,8.086,0.354
